seq_5|2468 #61d2ff ccrA2
seq_373|8 #468bfa ccrA1
seq_383|8 #009133 ccrA5
seq_389|8 #23db64 ccrAn12
seq_391|8 #468bfa ccrA1
seq_400|8 #468bfa ccrA1
seq_402|8 #468bfa ccrA1
seq_411|7 #61d2ff ccrA2
seq_412|7 #61d2ff ccrA2
seq_418|7 #61d2ff ccrA2
seq_420|7 #61d2ff ccrA2
seq_421|7 #61d2ff ccrA2
seq_425|7 #61d2ff ccrA2
seq_429|7 #61d2ff ccrA2
seq_465|6 #468bfa ccrA1
seq_467|6 #61d2ff ccrA2
seq_468|6 #61d2ff ccrA2
seq_470|6 #030bfc ccrA3
seq_471|6 #61d2ff ccrA2
seq_475|6 #61d2ff ccrA2
seq_484|6 #61d2ff ccrA2
seq_493|6 #63ff7d ccrA4
seq_494|6 #23db64 ccrAn12
seq_500|6 #c90000 ccrAn7
seq_503|6 #61d2ff ccrA2
seq_511|6 #23db64 ccrAn12
seq_512|6 #c90000 ccrAn7
seq_515|6 #63ff7d ccrA4
seq_518|6 #ff9999 ccrAn9
seq_522|6 #63ff7d ccrA4
seq_526|6 #ff9999 ccrAn9
seq_529|6 #ff9999 ccrAn9
seq_532|6 #009133 ccrA5
seq_533|6 #ff9999 ccrAn9
seq_534|6 #23db64 ccrAn12
seq_537|6 #ff9999 ccrAn9
seq_538|6 #23db64 ccrAn12
seq_539|6 #ff9999 ccrAn9
seq_540|6 #009133 ccrA5
seq_541|5 #61d2ff ccrA2
seq_542|5 #ff9999 ccrAn9
seq_543|5 #23db64 ccrAn12
seq_546|5 #63ff7d ccrA4
seq_547|5 #61d2ff ccrA2
seq_548|5 #61d2ff ccrA2
seq_549|5 #63ff7d ccrA4
seq_550|5 #468bfa ccrA1
seq_553|5 #61d2ff ccrA2
seq_554|5 #468bfa ccrA1
seq_556|5 #61d2ff ccrA2
seq_557|5 #61d2ff ccrA2
seq_558|5 #ff9999 ccrAn9
seq_562|5 #468bfa ccrA1
seq_563|5 #468bfa ccrA1
seq_564|5 #468bfa ccrA1
seq_565|5 #ff9999 ccrAn9
seq_568|5 #468bfa ccrA1
seq_571|5 #61d2ff ccrA2
seq_572|5 #63ff7d ccrA4
seq_574|5 #ff9999 ccrAn9
seq_575|5 #468bfa ccrA1
seq_576|5 #468bfa ccrA1
seq_580|5 #468bfa ccrA1
seq_581|5 #468bfa ccrA1
seq_582|5 #468bfa ccrA1
seq_583|5 #ff9999 ccrAn9
seq_586|5 #468bfa ccrA1
seq_587|5 #468bfa ccrA1
seq_588|5 #23db64 ccrAn12
seq_589|5 #23db64 ccrAn12
seq_590|5 #ffe194 ccrAn8
seq_593|5 #468bfa ccrA1
seq_596|5 #f03232 ccrAn6
seq_598|5 #468bfa ccrA1
seq_600|4 #61d2ff ccrA2
seq_603|4 #ffcc47 ccrAn5
seq_604|4 #ff9999 ccrAn9
seq_606|4 #468bfa ccrA1
seq_607|4 #63ff7d ccrA4
seq_608|4 #468bfa ccrA1
seq_609|4 #f03232 ccrAn6
seq_610|4 #468bfa ccrA1
seq_612|4 #468bfa ccrA1
seq_613|4 #61d2ff ccrA2
seq_614|4 #468bfa ccrA1
seq_615|4 #468bfa ccrA1
seq_616|4 #468bfa ccrA1
seq_617|4 #61d2ff ccrA2
seq_619|4 #61d2ff ccrA2
seq_624|4 #468bfa ccrA1
seq_626|4 #61d2ff ccrA2
seq_627|4 #468bfa ccrA1
seq_629|4 #23db64 ccrAn12
seq_632|4 #23db64 ccrAn12
seq_634|4 #468bfa ccrA1
seq_635|4 #468bfa ccrA1
seq_636|4 #23db64 ccrAn12
seq_637|4 #23db64 ccrAn12
seq_638|4 #23db64 ccrAn12
seq_641|4 #468bfa ccrA1
seq_647|4 #61d2ff ccrA2
seq_649|4 #63ff7d ccrA4
seq_650|4 #468bfa ccrA1
seq_651|4 #61d2ff ccrA2
seq_655|4 #468bfa ccrA1
seq_658|4 #23db64 ccrAn12
seq_659|4 #468bfa ccrA1
seq_660|4 #468bfa ccrA1
seq_662|4 #468bfa ccrA1
seq_663|4 #468bfa ccrA1
seq_665|4 #468bfa ccrA1
seq_666|4 #63ff7d ccrA4
seq_667|4 #468bfa ccrA1
seq_668|4 #63ff7d ccrA4
seq_669|4 #468bfa ccrA1
seq_670|4 #23db64 ccrAn12
seq_676|4 #23db64 ccrAn12
seq_677|4 #468bfa ccrA1
seq_680|4 #23db64 ccrAn12
seq_683|4 #468bfa ccrA1
seq_684|4 #468bfa ccrA1
seq_685|4 #030bfc ccrA3
seq_686|4 #468bfa ccrA1
seq_687|4 #23db64 ccrAn12
seq_688|4 #468bfa ccrA1
seq_689|4 #009133 ccrA5
seq_690|4 #ff9999 ccrAn9
seq_691|4 #468bfa ccrA1
seq_692|4 #468bfa ccrA1
seq_693|4 #ff9999 ccrAn9
seq_694|4 #23db64 ccrAn12
seq_695|4 #468bfa ccrA1
seq_696|4 #f03232 ccrAn6
seq_697|4 #468bfa ccrA1
seq_698|4 #f03232 ccrAn6
seq_699|4 #f03232 ccrAn6
seq_700|4 #468bfa ccrA1
seq_702|4 #23db64 ccrAn12
seq_703|4 #468bfa ccrA1
seq_704|4 #468bfa ccrA1
seq_705|4 #23db64 ccrAn12
seq_706|4 #23db64 ccrAn12
seq_707|4 #468bfa ccrA1
seq_708|4 #23db64 ccrAn12
seq_709|4 #23db64 ccrAn12
seq_710|4 #63ff7d ccrA4
seq_711|3 #61d2ff ccrA2
seq_713|3 #c90000 ccrAn7
seq_715|3 #23db64 ccrAn12
seq_716|3 #23db64 ccrAn12
seq_717|3 #23db64 ccrAn12
seq_718|3 #23db64 ccrAn12
seq_719|3 #23db64 ccrAn12
seq_720|3 #61d2ff ccrA2
seq_726|3 #61d2ff ccrA2
seq_730|3 #61d2ff ccrA2
seq_731|3 #61d2ff ccrA2
seq_741|3 #61d2ff ccrA2
seq_745|3 #61d2ff ccrA2
seq_759|3 #468bfa ccrA1
seq_762|3 #61d2ff ccrA2
seq_766|3 #030bfc ccrA3
seq_775|3 #61d2ff ccrA2
seq_790|3 #61d2ff ccrA2
seq_792|3 #61d2ff ccrA2
seq_801|3 #009133 ccrA5
seq_807|3 #030bfc ccrA3
seq_815|3 #61d2ff ccrA2
seq_830|3 #61d2ff ccrA2
seq_832|3 #468bfa ccrA1
seq_837|3 #c90000 ccrAn7
seq_839|3 #468bfa ccrA1
seq_842|3 #030bfc ccrA3
seq_843|3 #030bfc ccrA3
seq_848|3 #63ff7d ccrA4
seq_849|3 #63ff7d ccrA4
seq_851|3 #030bfc ccrA3
seq_855|3 #61d2ff ccrA2
seq_856|3 #61d2ff ccrA2
seq_860|3 #23db64 ccrAn12
seq_862|3 #23db64 ccrAn12
seq_863|3 #23db64 ccrAn12
seq_864|3 #23db64 ccrAn12
seq_866|3 #23db64 ccrAn12
seq_867|3 #63ff7d ccrA4
seq_869|3 #009133 ccrA5
seq_870|3 #009133 ccrA5
seq_871|3 #468bfa ccrA1
seq_873|3 #468bfa ccrA1
seq_874|3 #63ff7d ccrA4
seq_875|3 #63ff7d ccrA4
seq_877|3 #63ff7d ccrA4
seq_878|3 #009133 ccrA5
seq_879|3 #468bfa ccrA1
seq_881|3 #c90000 ccrAn7
seq_883|3 #23db64 ccrAn12
seq_884|3 #23db64 ccrAn12
seq_886|3 #009133 ccrA5
seq_887|3 #009133 ccrA5
seq_888|3 #ff9999 ccrAn9
seq_889|3 #23db64 ccrAn12
seq_890|3 #23db64 ccrAn12
seq_892|3 #23db64 ccrAn12
seq_893|3 #23db64 ccrAn12
seq_894|3 #23db64 ccrAn12
seq_895|3 #f03232 ccrAn6
seq_896|3 #f03232 ccrAn6
seq_898|3 #009133 ccrA5
seq_899|3 #23db64 ccrAn12
seq_901|3 #468bfa ccrA1
seq_902|3 #23db64 ccrAn12
seq_903|3 #23db64 ccrAn12
seq_904|2 #61d2ff ccrA2
seq_905|2 #63ff7d ccrA4
seq_912|2 #61d2ff ccrA2
seq_913|2 #63ff7d ccrA4
seq_916|2 #61d2ff ccrA2
seq_922|2 #61d2ff ccrA2
seq_923|2 #61d2ff ccrA2
seq_933|2 #61d2ff ccrA2
seq_934|2 #61d2ff ccrA2
seq_936|2 #61d2ff ccrA2
seq_940|2 #61d2ff ccrA2
seq_950|2 #63ff7d ccrA4
seq_951|2 #61d2ff ccrA2
seq_954|2 #61d2ff ccrA2
seq_961|2 #009133 ccrA5
seq_962|2 #ffcc47 ccrAn5
seq_964|2 #61d2ff ccrA2
seq_968|2 #61d2ff ccrA2
seq_969|2 #61d2ff ccrA2
seq_980|2 #61d2ff ccrA2
seq_981|2 #61d2ff ccrA2
seq_982|2 #63ff7d ccrA4
seq_984|2 #63ff7d ccrA4
seq_988|2 #61d2ff ccrA2
seq_990|2 #61d2ff ccrA2
seq_991|2 #ffcc47 ccrAn5
seq_992|2 #ffcc47 ccrAn5
seq_993|2 #ffe194 ccrAn8
seq_995|2 #ffe194 ccrAn8
seq_996|2 #ffcc47 ccrAn5
seq_997|2 #468bfa ccrA1
seq_1002|2 #63ff7d ccrA4
seq_1016|2 #009133 ccrA5
seq_1020|2 #63ff7d ccrA4
seq_1021|2 #f03232 ccrAn6
seq_1022|2 #009133 ccrA5
seq_1030|2 #61d2ff ccrA2
seq_1035|2 #c90000 ccrAn7
seq_1037|2 #63ff7d ccrA4
seq_1039|2 #c90000 ccrAn7
seq_1040|2 #c90000 ccrAn7
seq_1047|2 #030bfc ccrA3
seq_1050|2 #ffcc47 ccrAn5
seq_1051|2 #c90000 ccrAn7
seq_1054|2 #009133 ccrA5
seq_1055|2 #009133 ccrA5
seq_1056|2 #009133 ccrA5
seq_1057|2 #009133 ccrA5
seq_1058|2 #e8a800 ccrAn2
seq_1060|2 #63ff7d ccrA4
seq_1061|2 #030bfc ccrA3
seq_1065|2 #009133 ccrA5
seq_1066|2 #ff9999 ccrAn9
seq_1067|2 #f03232 ccrAn6
seq_1068|2 #f03232 ccrAn6
seq_1069|2 #ff9999 ccrAn9
seq_1070|2 #f03232 ccrAn6
seq_1071|2 #f03232 ccrAn6
seq_1072|2 #f03232 ccrAn6
seq_1073|2 #f03232 ccrAn6
seq_1074|2 #f03232 ccrAn6
seq_1082|2 #61d2ff ccrA2
seq_1083|2 #ffcc47 ccrAn5
seq_1084|2 #009133 ccrA5
seq_1085|2 #ffcc47 ccrAn5
seq_1086|2 #f03232 ccrAn6
seq_1087|2 #ffcc47 ccrAn5
seq_1088|2 #c90000 ccrAn7
seq_1091|1 #61d2ff ccrA2
seq_1092|1 #61d2ff ccrA2
seq_1093|1 #61d2ff ccrA2
seq_1094|1 #61d2ff ccrA2
seq_1095|1 #61d2ff ccrA2
seq_1096|1 #63ff7d ccrA4
seq_1097|1 #009133 ccrA5
seq_1117|1 #61d2ff ccrA2
seq_1118|1 #61d2ff ccrA2
seq_1119|1 #61d2ff ccrA2
seq_1125|1 #63ff7d ccrA4
seq_1127|1 #61d2ff ccrA2
seq_1130|1 #61d2ff ccrA2
seq_1131|1 #61d2ff ccrA2
seq_1132|1 #61d2ff ccrA2
seq_1133|1 #61d2ff ccrA2
seq_1134|1 #61d2ff ccrA2
seq_1136|1 #61d2ff ccrA2
seq_1140|1 #61d2ff ccrA2
seq_1141|1 #61d2ff ccrA2
seq_1143|1 #61d2ff ccrA2
seq_1144|1 #61d2ff ccrA2
seq_1145|1 #61d2ff ccrA2
seq_1146|1 #61d2ff ccrA2
seq_1147|1 #61d2ff ccrA2
seq_1148|1 #61d2ff ccrA2
seq_1149|1 #61d2ff ccrA2
seq_1152|1 #63ff7d ccrA4
seq_1153|1 #61d2ff ccrA2
seq_1154|1 #61d2ff ccrA2
seq_1155|1 #61d2ff ccrA2
seq_1160|1 #63ff7d ccrA4
seq_1168|1 #61d2ff ccrA2
seq_1170|1 #61d2ff ccrA2
seq_1173|1 #61d2ff ccrA2
seq_1174|1 #61d2ff ccrA2
seq_1176|1 #61d2ff ccrA2
seq_1178|1 #61d2ff ccrA2
seq_1180|1 #61d2ff ccrA2
seq_1182|1 #61d2ff ccrA2
seq_1183|1 #61d2ff ccrA2
seq_1184|1 #61d2ff ccrA2
seq_1187|1 #61d2ff ccrA2
seq_1192|1 #61d2ff ccrA2
seq_1193|1 #61d2ff ccrA2
seq_1194|1 #61d2ff ccrA2
seq_1195|1 #61d2ff ccrA2
seq_1202|1 #61d2ff ccrA2
seq_1203|1 #61d2ff ccrA2
seq_1210|1 #61d2ff ccrA2
seq_1211|1 #61d2ff ccrA2
seq_1220|1 #61d2ff ccrA2
seq_1221|1 #61d2ff ccrA2
seq_1233|1 #61d2ff ccrA2
seq_1235|1 #61d2ff ccrA2
seq_1236|1 #61d2ff ccrA2
seq_1237|1 #61d2ff ccrA2
seq_1239|1 #61d2ff ccrA2
seq_1245|1 #61d2ff ccrA2
seq_1246|1 #61d2ff ccrA2
seq_1251|1 #61d2ff ccrA2
seq_1252|1 #61d2ff ccrA2
seq_1254|1 #61d2ff ccrA2
seq_1255|1 #61d2ff ccrA2
seq_1256|1 #61d2ff ccrA2
seq_1258|1 #61d2ff ccrA2
seq_1259|1 #61d2ff ccrA2
seq_1261|1 #61d2ff ccrA2
seq_1264|1 #61d2ff ccrA2
seq_1265|1 #61d2ff ccrA2
seq_1267|1 #61d2ff ccrA2
seq_1268|1 #61d2ff ccrA2
seq_1269|1 #61d2ff ccrA2
seq_1270|1 #61d2ff ccrA2
seq_1271|1 #61d2ff ccrA2
seq_1272|1 #61d2ff ccrA2
seq_1273|1 #61d2ff ccrA2
seq_1275|1 #61d2ff ccrA2
seq_1276|1 #61d2ff ccrA2
seq_1277|1 #61d2ff ccrA2
seq_1278|1 #61d2ff ccrA2
seq_1281|1 #61d2ff ccrA2
seq_1282|1 #61d2ff ccrA2
seq_1286|1 #61d2ff ccrA2
seq_1287|1 #61d2ff ccrA2
seq_1292|1 #61d2ff ccrA2
seq_1297|1 #61d2ff ccrA2
seq_1299|1 #61d2ff ccrA2
seq_1301|1 #61d2ff ccrA2
seq_1303|1 #61d2ff ccrA2
seq_1312|1 #63ff7d ccrA4
seq_1316|1 #61d2ff ccrA2
seq_1318|1 #61d2ff ccrA2
seq_1320|1 #61d2ff ccrA2
seq_1325|1 #61d2ff ccrA2
seq_1326|1 #63ff7d ccrA4
seq_1327|1 #61d2ff ccrA2
seq_1329|1 #61d2ff ccrA2
seq_1330|1 #61d2ff ccrA2
seq_1331|1 #61d2ff ccrA2
seq_1332|1 #61d2ff ccrA2
seq_1333|1 #61d2ff ccrA2
seq_1334|1 #61d2ff ccrA2
seq_1336|1 #61d2ff ccrA2
seq_1338|1 #61d2ff ccrA2
seq_1339|1 #61d2ff ccrA2
seq_1350|1 #61d2ff ccrA2
seq_1351|1 #63ff7d ccrA4
seq_1352|1 #61d2ff ccrA2
seq_1353|1 #63ff7d ccrA4
seq_1354|1 #61d2ff ccrA2
seq_1355|1 #61d2ff ccrA2
seq_1359|1 #61d2ff ccrA2
seq_1363|1 #61d2ff ccrA2
seq_1365|1 #61d2ff ccrA2
seq_1366|1 #61d2ff ccrA2
seq_1367|1 #61d2ff ccrA2
seq_1370|1 #61d2ff ccrA2
seq_1372|1 #61d2ff ccrA2
seq_1373|1 #61d2ff ccrA2
seq_1375|1 #63ff7d ccrA4
seq_1376|1 #61d2ff ccrA2
seq_1377|1 #61d2ff ccrA2
seq_1378|1 #61d2ff ccrA2
seq_1380|1 #61d2ff ccrA2
seq_1381|1 #61d2ff ccrA2
seq_1383|1 #468bfa ccrA1
seq_1389|1 #63ff7d ccrA4
seq_1392|1 #ffe194 ccrAn8
seq_1397|1 #63ff7d ccrA4
seq_1399|1 #63ff7d ccrA4
seq_1406|1 #61d2ff ccrA2
seq_1411|1 #63ff7d ccrA4
seq_1415|1 #63ff7d ccrA4
seq_1424|1 #63ff7d ccrA4
seq_1431|1 #63ff7d ccrA4
seq_1433|1 #63ff7d ccrA4
seq_1435|1 #63ff7d ccrA4
seq_1439|1 #63ff7d ccrA4
seq_1441|1 #c90000 ccrAn7
seq_1442|1 #63ff7d ccrA4
seq_1445|1 #63ff7d ccrA4
seq_1450|1 #63ff7d ccrA4
seq_1451|1 #63ff7d ccrA4
seq_1456|1 #ffe194 ccrAn8
seq_1457|1 #63ff7d ccrA4
seq_1458|1 #61d2ff ccrA2
seq_1464|1 #61d2ff ccrA2
seq_1468|1 #468bfa ccrA1
seq_1495|1 #ffcc47 ccrAn5
seq_1497|1 #61d2ff ccrA2
seq_1498|1 #63ff7d ccrA4
seq_1503|1 #f03232 ccrAn6
seq_1506|1 #f03232 ccrAn6
seq_1507|1 #f03232 ccrAn6
seq_1508|1 #f03232 ccrAn6
seq_1511|1 #f03232 ccrAn6
seq_1513|1 #f03232 ccrAn6
seq_1514|1 #f03232 ccrAn6
