DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR COMMA
#SEPARATOR SPACE

#label is used in the legend table (can be changed later)
DATASET_LABEL	1_species
seq_350|1	#ef86e6
seq_351|1	#ef86e6
seq_352|1	#ef86e6
seq_449|1	#ef86e6
seq_353|1	#ef86e6
seq_354|1	#ef86e6
seq_176|1	#029600
seq_452|1	#029600
seq_177|1	#029600
seq_178|1	#029600
seq_179|1	#029600
seq_180|1	#029600
seq_181|1	#029600
seq_182|1	#029600
seq_355|1	#029600
seq_424|1	#029600
seq_389|1	#029600
seq_425|1	#029600
seq_368|1	#029600
seq_369|1	#029600
seq_231|1	#029600
seq_356|1	#029600
seq_357|1	#029600
seq_358|1	#029600
seq_183|1	#0b0d89
seq_184|1	#0b0d89
seq_185|1	#0b0d89
seq_186|1	#0b0d89
seq_232|1	#0b0d89
seq_233|1	#0b0d89
seq_187|1	#0b0d89
seq_234|1	#0b0d89
seq_235|1	#0b0d89
seq_236|1	#0b0d89
seq_237|1	#0b0d89
seq_340|1	#0b0d89
seq_238|1	#0b0d89
seq_341|1	#0b0d89
seq_359|1	#0b0d89
seq_239|1	#0b0d89
seq_240|1	#0b0d89
seq_241|1	#0b0d89
seq_360|1	#0b0d89
seq_242|1	#0b0d89
seq_243|1	#0b0d89
seq_244|1	#0b0d89
seq_245|1	#0b0d89
seq_246|1	#0b0d89
seq_247|1	#0b0d89
seq_248|1	#0b0d89
seq_249|1	#0b0d89
seq_250|1	#0b0d89
seq_251|1	#0b0d89
seq_252|1	#0b0d89
seq_253|1	#0b0d89
seq_254|1	#0b0d89
seq_255|1	#0b0d89
seq_256|1	#0b0d89
seq_257|1	#0b0d89
seq_258|1	#0b0d89
seq_361|1	#0b0d89
seq_362|1	#0b0d89
seq_188|1	#dd0d0d
seq_189|1	#dd0d0d
seq_190|1	#dd0d0d
seq_191|1	#dd0d0d
seq_192|1	#dd0d0d
seq_193|1	#dd0d0d
seq_194|1	#dd0d0d
seq_259|1	#dd0d0d
seq_195|1	#dd0d0d
seq_196|1	#dd0d0d
seq_197|1	#dd0d0d
seq_198|1	#dd0d0d
seq_199|1	#dd0d0d
seq_399|1	#dd0d0d
seq_426|1	#dd0d0d
seq_444|1	#dd0d0d
seq_453|1	#dd0d0d
seq_390|1	#dd0d0d
seq_260|1	#dd0d0d
seq_261|1	#dd0d0d
seq_342|1	#dd0d0d
seq_343|1	#dd0d0d
seq_262|1	#dd0d0d
seq_344|1	#dd0d0d
seq_263|1	#dd0d0d
seq_264|1	#dd0d0d
seq_265|1	#dd0d0d
seq_266|1	#dd0d0d
seq_267|1	#dd0d0d
seq_268|1	#dd0d0d
seq_269|1	#dd0d0d
seq_270|1	#dd0d0d
seq_271|1	#dd0d0d
seq_272|1	#dd0d0d
seq_273|1	#dd0d0d
seq_363|1	#dd0d0d
seq_274|1	#dd0d0d
seq_275|1	#dd0d0d
seq_276|1	#dd0d0d
seq_277|1	#dd0d0d
seq_278|1	#dd0d0d
seq_279|1	#dd0d0d
seq_280|1	#dd0d0d
seq_281|1	#dd0d0d
seq_282|1	#dd0d0d
seq_283|1	#dd0d0d
seq_284|1	#dd0d0d
seq_285|1	#dd0d0d
seq_391|1	#dd0d0d
seq_286|1	#dd0d0d
seq_287|1	#dd0d0d
seq_288|1	#dd0d0d
seq_289|1	#dd0d0d
seq_290|1	#dd0d0d
seq_291|1	#dd0d0d
seq_292|1	#dd0d0d
seq_293|1	#dd0d0d
seq_294|1	#dd0d0d
seq_295|1	#dd0d0d
seq_296|1	#dd0d0d
seq_297|1	#dd0d0d
seq_298|1	#dd0d0d
seq_299|1	#dd0d0d
seq_300|1	#dd0d0d
seq_301|1	#dd0d0d
seq_364|1	#dd0d0d
seq_302|1	#dd0d0d
seq_303|1	#dd0d0d
seq_304|1	#dd0d0d
seq_305|1	#dd0d0d
seq_306|1	#dd0d0d
seq_307|1	#dd0d0d
seq_308|1	#dd0d0d
seq_309|1	#dd0d0d
seq_310|1	#dd0d0d
seq_311|1	#dd0d0d
seq_312|1	#dd0d0d
seq_313|1	#dd0d0d
seq_314|1	#dd0d0d
seq_315|1	#dd0d0d
seq_316|1	#dd0d0d
seq_317|1	#dd0d0d
seq_318|1	#dd0d0d
seq_319|1	#dd0d0d
seq_320|1	#dd0d0d
seq_321|1	#dd0d0d
seq_322|1	#dd0d0d
seq_323|1	#dd0d0d
seq_324|1	#dd0d0d
seq_325|1	#dd0d0d
seq_326|1	#dd0d0d
seq_327|1	#dd0d0d
seq_328|1	#dd0d0d
seq_329|1	#dd0d0d
seq_330|1	#dd0d0d
seq_331|1	#dd0d0d
seq_332|1	#dd0d0d
seq_333|1	#dd0d0d
seq_334|1	#dd0d0d
seq_365|1	#dd0d0d
seq_200|1	#f9c507
seq_201|1	#f9c507
seq_427|1	#f9c507
seq_428|1	#f9c507
seq_429|1	#f9c507
seq_202|1	#f9c507
seq_409|1	#f9c507
seq_400|1	#f9c507
seq_382|1	#f9c507
seq_410|1	#f9c507
seq_450|1	#f9c507
seq_373|1	#f9c507
seq_374|1	#f9c507
seq_375|1	#f9c507
seq_383|1	#f9c507
seq_445|1	#0ccad1
seq_335|1	#0ccad1
seq_336|1	#0ccad1
seq_203|1	#664700
seq_204|1	#664700
seq_205|1	#a6cee3
seq_206|1	#a6cee3
seq_207|1	#a6cee3
seq_208|1	#a6cee3
seq_209|1	#a6cee3
seq_337|1	#a6cee3
seq_210|1	#f7850a
seq_454|1	#f7850a
seq_455|1	#f7850a
seq_456|1	#f7850a
seq_457|1	#f7850a
seq_458|1	#f7850a
seq_459|1	#f7850a
seq_460|1	#f7850a
seq_461|1	#f7850a
seq_462|1	#f7850a
seq_463|1	#f7850a
seq_384|1	#f7850a
seq_464|1	#f7850a
seq_385|1	#f7850a
seq_465|1	#f7850a
seq_430|1	#664700
seq_431|1	#664700
seq_211|1	#664700
seq_212|1	#664700
seq_432|1	#664700
seq_213|1	#664700
seq_376|1	#664700
seq_214|1	#656516
seq_215|1	#656516
seq_216|1	#656516
seq_217|1	#656516
seq_392|1	#656516
seq_218|1	#b2df8a
seq_433|1	#b2df8a
seq_434|1	#b2df8a
seq_435|1	#b2df8a
seq_219|1	#b2df8a
seq_446|1	#b2df8a
seq_411|1	#b2df8a
seq_386|1	#b2df8a
seq_377|1	#b2df8a
seq_378|1	#b2df8a
seq_220|1	#664700
seq_221|1	#664700
seq_436|1	#664700
seq_412|1	#664700
seq_437|1	#664700
seq_413|1	#664700
seq_414|1	#664700
seq_387|1	#664700
seq_370|1	#664700
seq_401|1	#664700
seq_438|1	#664700
seq_415|1	#664700
seq_379|1	#664700
seq_416|1	#7F1D6C
seq_402|1	#7F1D6C
seq_417|1	#7F1D6C
seq_418|1	#7F1D6C
seq_388|1	#7F1D6C
seq_222|1	#664700
seq_439|1	#664700
seq_403|1	#664700
seq_447|1	#664700
seq_223|1	#664700
seq_419|1	#664700
seq_393|1	#664700
seq_448|1	#664700
seq_224|1	#664700
seq_440|1	#664700
seq_466|1	#664700
seq_420|1	#664700
seq_421|1	#664700
seq_404|1	#664700
seq_380|1	#664700
seq_225|1	#664700
seq_405|1	#664700
seq_338|1	#664700
seq_366|1	#664700
seq_422|1	#664700
seq_406|1	#664700
seq_423|1	#664700
seq_345|1	#664700
seq_451|1	#664700
seq_407|1	#664700
seq_346|1	#664700
seq_408|1	#664700
seq_394|1	#664700
seq_395|1	#664700
seq_396|1	#664700
seq_371|1	#664700
seq_372|1	#664700
seq_397|1	#664700
seq_339|1	#664700
seq_381|1	#664700
