"species"	"contigs"	"genome_size"	"sp"	"sp_ID"
"GCF_002994145.1_ASM299414v1_genomic.fna"	"Staphylococcus_agnetis"	58	2476220	"agnetis"	"Staphylococcus_agnetis__GCF_002994145.1_ASM299414v1_genomic.fna"
"GCF_002994165.1_ASM299416v1_genomic.fna"	"Staphylococcus_agnetis"	52	2505183	"agnetis"	"Staphylococcus_agnetis__GCF_002994165.1_ASM299416v1_genomic.fna"
"GCF_003040855.1_ASM304085v1_genomic.fna"	"Staphylococcus_agnetis"	69	2341980	"agnetis"	"Staphylococcus_agnetis__GCF_003040855.1_ASM304085v1_genomic.fna"
"GCF_002902305.1_ASM290230v1_genomic.fna"	"Staphylococcus_argensis"	19	2452468	"argensis"	"Staphylococcus_argensis__GCF_002902305.1_ASM290230v1_genomic.fna"
"GCF_007671915.1_ASM767191v1_genomic.fna"	"Staphylococcus_argensis"	222	2541721	"argensis"	"Staphylococcus_argensis__GCF_007671915.1_ASM767191v1_genomic.fna"
"GCF_007671945.1_ASM767194v1_genomic.fna"	"Staphylococcus_argensis"	27	2485187	"argensis"	"Staphylococcus_argensis__GCF_007671945.1_ASM767194v1_genomic.fna"
"GCF_007672175.1_ASM767217v1_genomic.fna"	"Staphylococcus_argensis"	35	2487382	"argensis"	"Staphylococcus_argensis__GCF_007672175.1_ASM767217v1_genomic.fna"
"GCF_007676625.1_ASM767662v1_genomic.fna"	"Staphylococcus_argensis"	136	2511961	"argensis"	"Staphylococcus_argensis__GCF_007676625.1_ASM767662v1_genomic.fna"
"GCF_007682245.1_ASM768224v1_genomic.fna"	"Staphylococcus_argensis"	23	2480591	"argensis"	"Staphylococcus_argensis__GCF_007682245.1_ASM768224v1_genomic.fna"
"GCF_007682285.1_ASM768228v1_genomic.fna"	"Staphylococcus_argensis"	514	2630664	"argensis"	"Staphylococcus_argensis__GCF_007682285.1_ASM768228v1_genomic.fna"
"GCF_007682325.1_ASM768232v1_genomic.fna"	"Staphylococcus_argensis"	141	2512883	"argensis"	"Staphylococcus_argensis__GCF_007682325.1_ASM768232v1_genomic.fna"
"GCF_001891145.1_ASM189114v1_genomic.fna"	"Staphylococcus_argenteus"	1	2754198	"argenteus"	"Staphylococcus_argenteus__GCF_001891145.1_ASM189114v1_genomic.fna"
"GCF_900126665.1_17175_3_32_genomic.fna"	"Staphylococcus_argenteus"	13	2797558	"argenteus"	"Staphylococcus_argenteus__GCF_900126665.1_17175_3_32_genomic.fna"
"GCF_000751495.1_Sa_M051_MSHR_genomic.fna"	"Staphylococcus_argenteus"	11	2707688	"argenteus"	"Staphylococcus_argenteus__GCF_000751495.1_Sa_M051_MSHR_genomic.fna"
"GCF_900126595.1_17175_3_23_genomic.fna"	"Staphylococcus_argenteus"	14	2745127	"argenteus"	"Staphylococcus_argenteus__GCF_900126595.1_17175_3_23_genomic.fna"
"GCF_001969725.1_ASM196972v1_genomic.fna"	"Staphylococcus_argenteus"	110	2871140	"argenteus"	"Staphylococcus_argenteus__GCF_001969725.1_ASM196972v1_genomic.fna"
"GCF_002221825.1_ASM222182v1_genomic.fna"	"Staphylococcus_argenteus"	25	2731584	"argenteus"	"Staphylococcus_argenteus__GCF_002221825.1_ASM222182v1_genomic.fna"
"GCF_900126605.1_17175_3_24_genomic.fna"	"Staphylococcus_argenteus"	14	2832032	"argenteus"	"Staphylococcus_argenteus__GCF_900126605.1_17175_3_24_genomic.fna"
"GCF_900126675.1_17175_3_33_genomic.fna"	"Staphylococcus_argenteus"	14	2795712	"argenteus"	"Staphylococcus_argenteus__GCF_900126675.1_17175_3_33_genomic.fna"
"GCF_000751815.1_Sa_FJABA32044V6S1_genomic.fna"	"Staphylococcus_argenteus"	18	2731227	"argenteus"	"Staphylococcus_argenteus__GCF_000751815.1_Sa_FJABA32044V6S1_genomic.fna"
"GCF_001641625.1_ASM164162v1_genomic.fna"	"Staphylococcus_argenteus"	42	2801320	"argenteus"	"Staphylococcus_argenteus__GCF_001641625.1_ASM164162v1_genomic.fna"
"GCF_900126615.1_17175_3_26_genomic.fna"	"Staphylococcus_argenteus"	30	2936159	"argenteus"	"Staphylococcus_argenteus__GCF_900126615.1_17175_3_26_genomic.fna"
"GCF_900126545.1_17175_3_17_genomic.fna"	"Staphylococcus_argenteus"	14	2797807	"argenteus"	"Staphylococcus_argenteus__GCF_900126545.1_17175_3_17_genomic.fna"
"GCF_000751995.1_SaM260_MSHR_genomic.fna"	"Staphylococcus_argenteus"	19	2715331	"argenteus"	"Staphylococcus_argenteus__GCF_000751995.1_SaM260_MSHR_genomic.fna"
"GCF_900126685.1_17175_3_35_genomic.fna"	"Staphylococcus_argenteus"	13	2764817	"argenteus"	"Staphylococcus_argenteus__GCF_900126685.1_17175_3_35_genomic.fna"
"GCF_001969635.1_ASM196963v1_genomic.fna"	"Staphylococcus_argenteus"	241	2838464	"argenteus"	"Staphylococcus_argenteus__GCF_001969635.1_ASM196963v1_genomic.fna"
"GCF_900126625.1_17175_3_28_genomic.fna"	"Staphylococcus_argenteus"	14	2758002	"argenteus"	"Staphylococcus_argenteus__GCF_900126625.1_17175_3_28_genomic.fna"
"GCF_900126555.1_17175_3_16_genomic.fna"	"Staphylococcus_argenteus"	14	2794875	"argenteus"	"Staphylococcus_argenteus__GCF_900126555.1_17175_3_16_genomic.fna"
"GCF_001969695.1_ASM196969v1_genomic.fna"	"Staphylococcus_argenteus"	126	2809812	"argenteus"	"Staphylococcus_argenteus__GCF_001969695.1_ASM196969v1_genomic.fna"
"GCF_900126695.1_17175_3_36_genomic.fna"	"Staphylococcus_argenteus"	12	2806784	"argenteus"	"Staphylococcus_argenteus__GCF_900126695.1_17175_3_36_genomic.fna"
"GCF_900126645.1_17175_3_30_genomic.fna"	"Staphylococcus_argenteus"	14	2765304	"argenteus"	"Staphylococcus_argenteus__GCF_900126645.1_17175_3_30_genomic.fna"
"GCF_900126565.1_17175_3_18_genomic.fna"	"Staphylococcus_argenteus"	15	2832310	"argenteus"	"Staphylococcus_argenteus__GCF_900126565.1_17175_3_18_genomic.fna"
"GCF_001969705.1_ASM196970v1_genomic.fna"	"Staphylococcus_argenteus"	144	2773749	"argenteus"	"Staphylococcus_argenteus__GCF_001969705.1_ASM196970v1_genomic.fna"
"GCF_000752015.1_Sa_H115100079_genomic.fna"	"Staphylococcus_argenteus"	12	2749628	"argenteus"	"Staphylococcus_argenteus__GCF_000752015.1_Sa_H115100079_genomic.fna"
"GCF_900126705.1_17175_3_39_genomic.fna"	"Staphylococcus_argenteus"	14	2767586	"argenteus"	"Staphylococcus_argenteus__GCF_900126705.1_17175_3_39_genomic.fna"
"GCF_900126655.1_17175_3_31_genomic.fna"	"Staphylococcus_argenteus"	17	2789089	"argenteus"	"Staphylococcus_argenteus__GCF_900126655.1_17175_3_31_genomic.fna"
"GCF_900126585.1_17175_3_22_genomic.fna"	"Staphylococcus_argenteus"	12	2768511	"argenteus"	"Staphylococcus_argenteus__GCF_900126585.1_17175_3_22_genomic.fna"
"GCF_000752055.1_Sa_LBSA043_genomic.fna"	"Staphylococcus_argenteus"	11	2735019	"argenteus"	"Staphylococcus_argenteus__GCF_000752055.1_Sa_LBSA043_genomic.fna"
"GCF_001969715.1_ASM196971v1_genomic.fna"	"Staphylococcus_argenteus"	89	2783391	"argenteus"	"Staphylococcus_argenteus__GCF_001969715.1_ASM196971v1_genomic.fna"
"GCF_900126725.1_17175_3_42_genomic.fna"	"Staphylococcus_argenteus"	15	2813066	"argenteus"	"Staphylococcus_argenteus__GCF_900126725.1_17175_3_42_genomic.fna"
"GCF_900126735.1_17175_3_45_genomic.fna"	"Staphylococcus_argenteus"	16	2809013	"argenteus"	"Staphylococcus_argenteus__GCF_900126735.1_17175_3_45_genomic.fna"
"GCF_900126815.1_17175_3_56_genomic.fna"	"Staphylococcus_argenteus"	15	2795851	"argenteus"	"Staphylococcus_argenteus__GCF_900126815.1_17175_3_56_genomic.fna"
"GCF_001061465.1_ASM106146v1_genomic.fna"	"Staphylococcus_argenteus"	111	2789071	"argenteus"	"Staphylococcus_argenteus__GCF_001061465.1_ASM106146v1_genomic.fna"
"GCF_900126955.1_17175_3_73_genomic.fna"	"Staphylococcus_argenteus"	19	2744518	"argenteus"	"Staphylococcus_argenteus__GCF_900126955.1_17175_3_73_genomic.fna"
"GCF_900126885.1_17175_3_63_genomic.fna"	"Staphylococcus_argenteus"	14	2796345	"argenteus"	"Staphylococcus_argenteus__GCF_900126885.1_17175_3_63_genomic.fna"
"GCF_900126745.1_17175_3_46_genomic.fna"	"Staphylococcus_argenteus"	13	2826438	"argenteus"	"Staphylococcus_argenteus__GCF_900126745.1_17175_3_46_genomic.fna"
"GCF_900126965.1_17175_3_74_genomic.fna"	"Staphylococcus_argenteus"	15	2753971	"argenteus"	"Staphylococcus_argenteus__GCF_900126965.1_17175_3_74_genomic.fna"
"GCF_900126825.1_17175_3_57_genomic.fna"	"Staphylococcus_argenteus"	16	2834528	"argenteus"	"Staphylococcus_argenteus__GCF_900126825.1_17175_3_57_genomic.fna"
"GCF_900126895.1_17175_3_65_genomic.fna"	"Staphylococcus_argenteus"	14	2790215	"argenteus"	"Staphylococcus_argenteus__GCF_900126895.1_17175_3_65_genomic.fna"
"GCF_900127025.1_17175_3_80_genomic.fna"	"Staphylococcus_argenteus"	22	2752699	"argenteus"	"Staphylococcus_argenteus__GCF_900127025.1_17175_3_80_genomic.fna"
"GCF_900126775.1_17175_3_51_genomic.fna"	"Staphylococcus_argenteus"	15	2833692	"argenteus"	"Staphylococcus_argenteus__GCF_900126775.1_17175_3_51_genomic.fna"
"GCF_900126975.1_17175_3_76_genomic.fna"	"Staphylococcus_argenteus"	22	2753728	"argenteus"	"Staphylococcus_argenteus__GCF_900126975.1_17175_3_76_genomic.fna"
"GCF_900126905.1_17175_3_66_genomic.fna"	"Staphylococcus_argenteus"	18	2845109	"argenteus"	"Staphylococcus_argenteus__GCF_900126905.1_17175_3_66_genomic.fna"
"GCF_900127035.1_17175_3_81_genomic.fna"	"Staphylococcus_argenteus"	12	2783792	"argenteus"	"Staphylococcus_argenteus__GCF_900127035.1_17175_3_81_genomic.fna"
"GCF_900126785.1_17175_3_52_genomic.fna"	"Staphylococcus_argenteus"	15	2724868	"argenteus"	"Staphylococcus_argenteus__GCF_900126785.1_17175_3_52_genomic.fna"
"GCF_900126985.1_17175_3_77_genomic.fna"	"Staphylococcus_argenteus"	19	2792374	"argenteus"	"Staphylococcus_argenteus__GCF_900126985.1_17175_3_77_genomic.fna"
"GCF_900126915.1_17175_3_67_genomic.fna"	"Staphylococcus_argenteus"	14	2804868	"argenteus"	"Staphylococcus_argenteus__GCF_900126915.1_17175_3_67_genomic.fna"
"GCF_900127045.1_17175_3_82_genomic.fna"	"Staphylococcus_argenteus"	13	2752527	"argenteus"	"Staphylococcus_argenteus__GCF_900127045.1_17175_3_82_genomic.fna"
"GCF_900126795.1_17175_3_54_genomic.fna"	"Staphylococcus_argenteus"	16	2807574	"argenteus"	"Staphylococcus_argenteus__GCF_900126795.1_17175_3_54_genomic.fna"
"GCF_900126835.1_17175_3_58_genomic.fna"	"Staphylococcus_argenteus"	14	2752825	"argenteus"	"Staphylococcus_argenteus__GCF_900126835.1_17175_3_58_genomic.fna"
"GCF_900126995.1_17175_3_78_genomic.fna"	"Staphylococcus_argenteus"	14	2789188	"argenteus"	"Staphylococcus_argenteus__GCF_900126995.1_17175_3_78_genomic.fna"
"GCF_900126805.1_17175_3_55_genomic.fna"	"Staphylococcus_argenteus"	15	2826702	"argenteus"	"Staphylococcus_argenteus__GCF_900126805.1_17175_3_55_genomic.fna"
"GCF_900126855.1_17175_3_61_genomic.fna"	"Staphylococcus_argenteus"	16	2797202	"argenteus"	"Staphylococcus_argenteus__GCF_900126855.1_17175_3_61_genomic.fna"
"GCF_900127005.1_17175_3_79_genomic.fna"	"Staphylococcus_argenteus"	13	2699851	"argenteus"	"Staphylococcus_argenteus__GCF_900127005.1_17175_3_79_genomic.fna"
"GCF_900126935.1_17175_3_71_genomic.fna"	"Staphylococcus_argenteus"	14	2792352	"argenteus"	"Staphylococcus_argenteus__GCF_900126935.1_17175_3_71_genomic.fna"
"GCF_900127055.1_17175_3_83_genomic.fna"	"Staphylococcus_argenteus"	14	2772350	"argenteus"	"Staphylococcus_argenteus__GCF_900127055.1_17175_3_83_genomic.fna"
"GCF_900127085.1_17175_3_86_genomic.fna"	"Staphylococcus_argenteus"	14	2794535	"argenteus"	"Staphylococcus_argenteus__GCF_900127085.1_17175_3_86_genomic.fna"
"GCF_900126865.1_17175_3_64_genomic.fna"	"Staphylococcus_argenteus"	23	2879047	"argenteus"	"Staphylococcus_argenteus__GCF_900126865.1_17175_3_64_genomic.fna"
"GCF_900128185.1_17175_3_25_genomic.fna"	"Staphylococcus_argenteus"	17	2794893	"argenteus"	"Staphylococcus_argenteus__GCF_900128185.1_17175_3_25_genomic.fna"
"GCF_900126945.1_17175_3_72_genomic.fna"	"Staphylococcus_argenteus"	13	2840099	"argenteus"	"Staphylococcus_argenteus__GCF_900126945.1_17175_3_72_genomic.fna"
"GCF_900127065.1_17175_3_85_genomic.fna"	"Staphylococcus_argenteus"	10	2714919	"argenteus"	"Staphylococcus_argenteus__GCF_900127065.1_17175_3_85_genomic.fna"
"GCF_900127115.1_17175_3_89_genomic.fna"	"Staphylococcus_argenteus"	12	2800762	"argenteus"	"Staphylococcus_argenteus__GCF_900127115.1_17175_3_89_genomic.fna"
"GCF_900128195.1_17175_3_27_genomic.fna"	"Staphylococcus_argenteus"	14	2833122	"argenteus"	"Staphylococcus_argenteus__GCF_900128195.1_17175_3_27_genomic.fna"
"GCF_900126875.1_17175_3_62_genomic.fna"	"Staphylococcus_argenteus"	15	2852139	"argenteus"	"Staphylococcus_argenteus__GCF_900126875.1_17175_3_62_genomic.fna"
"GCF_900128245.1_17175_3_40_genomic.fna"	"Staphylococcus_argenteus"	16	2812567	"argenteus"	"Staphylococcus_argenteus__GCF_900128245.1_17175_3_40_genomic.fna"
"GCF_900127075.1_17175_3_84_genomic.fna"	"Staphylococcus_argenteus"	14	2752581	"argenteus"	"Staphylococcus_argenteus__GCF_900127075.1_17175_3_84_genomic.fna"
"GCF_900128145.1_17175_3_14_genomic.fna"	"Staphylococcus_argenteus"	20	2788778	"argenteus"	"Staphylococcus_argenteus__GCF_900128145.1_17175_3_14_genomic.fna"
"GCF_900128205.1_17175_3_29_genomic.fna"	"Staphylococcus_argenteus"	13	2832040	"argenteus"	"Staphylococcus_argenteus__GCF_900128205.1_17175_3_29_genomic.fna"
"GCF_900128255.1_17175_3_41_genomic.fna"	"Staphylococcus_argenteus"	13	2795091	"argenteus"	"Staphylococcus_argenteus__GCF_900128255.1_17175_3_41_genomic.fna"
"GCF_900128345.1_17175_3_68_genomic.fna"	"Staphylococcus_argenteus"	16	2810622	"argenteus"	"Staphylococcus_argenteus__GCF_900128345.1_17175_3_68_genomic.fna"
"GCF_900183755.1_M4146_genomic.fna"	"Staphylococcus_argenteus"	189	2741032	"argenteus"	"Staphylococcus_argenteus__GCF_900183755.1_M4146_genomic.fna"
"GCF_900128155.1_17175_3_19_genomic.fna"	"Staphylococcus_argenteus"	15	2795847	"argenteus"	"Staphylococcus_argenteus__GCF_900128155.1_17175_3_19_genomic.fna"
"GCF_900128215.1_17175_3_34_genomic.fna"	"Staphylococcus_argenteus"	25	2785340	"argenteus"	"Staphylococcus_argenteus__GCF_900128215.1_17175_3_34_genomic.fna"
"GCF_900183815.1_H1540_genomic.fna"	"Staphylococcus_argenteus"	77	2825755	"argenteus"	"Staphylococcus_argenteus__GCF_900183815.1_H1540_genomic.fna"
"GCF_900183835.1_M5200_genomic.fna"	"Staphylococcus_argenteus"	29	2787948	"argenteus"	"Staphylococcus_argenteus__GCF_900183835.1_M5200_genomic.fna"
"GCF_900183855.1_O-10_genomic.fna"	"Staphylococcus_argenteus"	210	2760190	"argenteus"	"Staphylococcus_argenteus__GCF_900183855.1_O-10_genomic.fna"
"GCF_900183875.1_M4148_genomic.fna"	"Staphylococcus_argenteus"	197	2739502	"argenteus"	"Staphylococcus_argenteus__GCF_900183875.1_M4148_genomic.fna"
"GCF_900183885.1_M4528_genomic.fna"	"Staphylococcus_argenteus"	94	2760910	"argenteus"	"Staphylococcus_argenteus__GCF_900183885.1_M4528_genomic.fna"
"GCF_900183895.1_O-5_genomic.fna"	"Staphylococcus_argenteus"	100	2789897	"argenteus"	"Staphylococcus_argenteus__GCF_900183895.1_O-5_genomic.fna"
"GCF_900183905.1_D7903_genomic.fna"	"Staphylococcus_argenteus"	39	2771197	"argenteus"	"Staphylococcus_argenteus__GCF_900183905.1_D7903_genomic.fna"
"GCF_900183915.1_M5219_genomic.fna"	"Staphylococcus_argenteus"	22	2787944	"argenteus"	"Staphylococcus_argenteus__GCF_900183915.1_M5219_genomic.fna"
"GCF_900183925.1_M4143_genomic.fna"	"Staphylococcus_argenteus"	40	2740280	"argenteus"	"Staphylococcus_argenteus__GCF_900183925.1_M4143_genomic.fna"
"GCF_900183935.1_M5224_genomic.fna"	"Staphylococcus_argenteus"	33	2791019	"argenteus"	"Staphylococcus_argenteus__GCF_900183935.1_M5224_genomic.fna"
"GCF_900183945.1_O-6_genomic.fna"	"Staphylococcus_argenteus"	66	2796422	"argenteus"	"Staphylococcus_argenteus__GCF_900183945.1_O-6_genomic.fna"
"GCF_900183955.1_M3040_genomic.fna"	"Staphylococcus_argenteus"	86	2914223	"argenteus"	"Staphylococcus_argenteus__GCF_900183955.1_M3040_genomic.fna"
"GCF_900183965.1_O-2_genomic.fna"	"Staphylococcus_argenteus"	79	2809203	"argenteus"	"Staphylococcus_argenteus__GCF_900183965.1_O-2_genomic.fna"
"GCF_003010635.1_ASM301063v1_genomic.fna"	"Staphylococcus_argenteus"	49	2842440	"argenteus"	"Staphylococcus_argenteus__GCF_003010635.1_ASM301063v1_genomic.fna"
"GCF_003022395.1_ASM302239v1_genomic.fna"	"Staphylococcus_argenteus"	60	2734918	"argenteus"	"Staphylococcus_argenteus__GCF_003022395.1_ASM302239v1_genomic.fna"
"GCF_003569945.1_ASM356994v1_genomic.fna"	"Staphylococcus_argenteus"	2	2747893	"argenteus"	"Staphylococcus_argenteus__GCF_003569945.1_ASM356994v1_genomic.fna"
"GCF_003595345.1_ASM359534v1_genomic.fna"	"Staphylococcus_argenteus"	1	2744503	"argenteus"	"Staphylococcus_argenteus__GCF_003595345.1_ASM359534v1_genomic.fna"
"GCF_900457475.1_43781_H01_genomic.fna"	"Staphylococcus_argenteus"	2	2794616	"argenteus"	"Staphylococcus_argenteus__GCF_900457475.1_43781_H01_genomic.fna"
"GCF_008368955.1_ASM836895v1_genomic.fna"	"Staphylococcus_argenteus"	60	2760394	"argenteus"	"Staphylococcus_argenteus__GCF_008368955.1_ASM836895v1_genomic.fna"
"GCF_003935695.1_ASM393569v1_genomic.fna"	"Staphylococcus_argenteus"	21	2748537	"argenteus"	"Staphylococcus_argenteus__GCF_003935695.1_ASM393569v1_genomic.fna"
"GCF_005397745.1_ASM539774v1_genomic.fna"	"Staphylococcus_argenteus"	18	2727608	"argenteus"	"Staphylococcus_argenteus__GCF_005397745.1_ASM539774v1_genomic.fna"
"GCF_007859575.1_ASM785957v1_genomic.fna"	"Staphylococcus_argenteus"	2	2697792	"argenteus"	"Staphylococcus_argenteus__GCF_007859575.1_ASM785957v1_genomic.fna"
"GCF_000236925.1_ASM23692v1_genomic.fna"	"Staphylococcus_argenteus"	2	2787638	"argenteus"	"Staphylococcus_argenteus__GCF_000236925.1_ASM23692v1_genomic.fna"
"GCF_000602805.1_Stap_aure_F87619_V1_genomic.fna"	"Staphylococcus_argenteus"	64	2795392	"argenteus"	"Staphylococcus_argenteus__GCF_000602805.1_Stap_aure_F87619_V1_genomic.fna"
"GCF_000606605.1_Stap_aure_M21126_V1_genomic.fna"	"Staphylococcus_argenteus"	38	2806524	"argenteus"	"Staphylococcus_argenteus__GCF_000606605.1_Stap_aure_M21126_V1_genomic.fna"
"GCF_002812345.2_ASM281234v2_genomic.fna"	"Staphylococcus_argenteus"	2	2771259	"argenteus"	"Staphylococcus_argenteus__GCF_002812345.2_ASM281234v2_genomic.fna"
"GCF_002901785.1_ASM290178v1_genomic.fna"	"Staphylococcus_argenteus"	48	2759629	"argenteus"	"Staphylococcus_argenteus__GCF_002901785.1_ASM290178v1_genomic.fna"
"GCF_900126525.1_17175_3_15_genomic.fna"	"Staphylococcus_argenteus"	20	2831843	"argenteus"	"Staphylococcus_argenteus__GCF_900126525.1_17175_3_15_genomic.fna"
"GCF_900128165.1_17175_3_20_genomic.fna"	"Staphylococcus_argenteus"	14	2829190	"argenteus"	"Staphylococcus_argenteus__GCF_900128165.1_17175_3_20_genomic.fna"
"GCF_900128175.1_17175_3_21_genomic.fna"	"Staphylococcus_argenteus"	12	2722724	"argenteus"	"Staphylococcus_argenteus__GCF_900128175.1_17175_3_21_genomic.fna"
"GCF_900128225.1_17175_3_37_genomic.fna"	"Staphylococcus_argenteus"	13	2759313	"argenteus"	"Staphylococcus_argenteus__GCF_900128225.1_17175_3_37_genomic.fna"
"GCF_900128235.1_17175_3_38_genomic.fna"	"Staphylococcus_argenteus"	14	2795586	"argenteus"	"Staphylococcus_argenteus__GCF_900128235.1_17175_3_38_genomic.fna"
"GCF_900128265.1_17175_3_43_genomic.fna"	"Staphylococcus_argenteus"	12	2797058	"argenteus"	"Staphylococcus_argenteus__GCF_900128265.1_17175_3_43_genomic.fna"
"GCF_900128275.1_17175_3_44_genomic.fna"	"Staphylococcus_argenteus"	15	2795865	"argenteus"	"Staphylococcus_argenteus__GCF_900128275.1_17175_3_44_genomic.fna"
"GCF_900128325.1_17175_3_59_genomic.fna"	"Staphylococcus_argenteus"	14	2823216	"argenteus"	"Staphylococcus_argenteus__GCF_900128325.1_17175_3_59_genomic.fna"
"GCF_900128335.1_17175_3_60_genomic.fna"	"Staphylococcus_argenteus"	14	2794618	"argenteus"	"Staphylococcus_argenteus__GCF_900128335.1_17175_3_60_genomic.fna"
"GCF_900128355.1_17175_3_69_genomic.fna"	"Staphylococcus_argenteus"	23	2843565	"argenteus"	"Staphylococcus_argenteus__GCF_900128355.1_17175_3_69_genomic.fna"
"GCF_900128365.1_17175_3_70_genomic.fna"	"Staphylococcus_argenteus"	14	2794601	"argenteus"	"Staphylococcus_argenteus__GCF_900128365.1_17175_3_70_genomic.fna"
"GCF_900128385.1_17175_3_75_genomic.fna"	"Staphylococcus_argenteus"	19	2728502	"argenteus"	"Staphylococcus_argenteus__GCF_900128385.1_17175_3_75_genomic.fna"
"GCF_900183725.1_H1955_genomic.fna"	"Staphylococcus_argenteus"	188	2802470	"argenteus"	"Staphylococcus_argenteus__GCF_900183725.1_H1955_genomic.fna"
"GCF_900183735.1_M4185_genomic.fna"	"Staphylococcus_argenteus"	191	2739680	"argenteus"	"Staphylococcus_argenteus__GCF_900183735.1_M4185_genomic.fna"
"GCF_900183765.1_O-3_genomic.fna"	"Staphylococcus_argenteus"	141	2795991	"argenteus"	"Staphylococcus_argenteus__GCF_900183765.1_O-3_genomic.fna"
"GCF_900183775.1_H1604_genomic.fna"	"Staphylococcus_argenteus"	361	2834490	"argenteus"	"Staphylococcus_argenteus__GCF_900183775.1_H1604_genomic.fna"
