IS431s_start	IS431s_len	IS431s_end	IS431s_dir	IS1272s_start	IS1272s_len	IS1272s_end	IS1272s_dir	mecI_start	mecI_len	mecI_end	mecI_dir	mecR_start	mecR_len	mecR_end	mecR_dir	mecA_start	mecA_len	mecA_end	mecA_dir	IS431e_start	IS431e_len	IS431e_end	IS431e_dir	assembly	GCF_ID	contig	species	contig_length	assembly_strand	mecA_to_end_length	end_length	mecR_to_end_length	mecR_end_length	mecR_len_simple	mecI_present	IS1272_present	IS431s_present	mecR_type	ISs_status	mec_class	mec_class_inferred	ccrA_count	ccrB_count	ccrC_count	ccrA_types	ccrB_types	ccrC_types	mecA_count
33715	675	34389	<	-	-	-	-	-	-	-	-	33567	108	>33674	<	31461	2010	33470	>	28171	675	28845	>	GCF_004794855.1_ASM47948	004794855.1	NZ_QGPK01000002.1	Staphylococcus_pseudintermedius	78393	minus	44923	5000	44719	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
132628	675	133302	<	-	-	-	-	-	-	-	-	132480	108	>132587	<	130374	2010	132383	>	127084	675	127758	>	GCF_004166385.1_ASM41663	004166385.1	NZ_QHIA01000001.1	Staphylococcus_pseudintermedius	296854	minus	164471	5000	164267	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
132628	675	133302	<	-	-	-	-	-	-	-	-	132480	108	>132587	<	130374	2010	132383	>	127084	675	127758	>	GCF_004166355.1_ASM41663	004166355.1	NZ_QHIC01000002.1	Staphylococcus_pseudintermedius	296844	minus	164461	5000	164257	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
139	675	813	<	-	-	-	-	-	-	-	-	<854	108	961	<	1058	2010	3067	>	5683	675	6357	>	GCF_004166785.1_ASM41667	004166785.1	NZ_QHIY01000040.1	Staphylococcus_pseudintermedius	24920	plus	1058	1058	854	854	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
132628	675	133302	<	-	-	-	-	-	-	-	-	132480	108	>132587	<	130374	2010	132383	>	127084	675	127758	>	GCF_004166775.1_ASM41667	004166775.1	NZ_QHIX01000002.1	Staphylococcus_pseudintermedius	296884	minus	164501	5000	164297	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
15976	675	16650	<	-	-	-	-	-	-	-	-	15828	108	>15935	<	13722	2010	15731	>	10472	675	11146	>	GCF_004166765.1_ASM41667	004166765.1	NZ_QHIW01000005.1	Staphylococcus_pseudintermedius	198533	minus	182802	5000	182598	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1903	2010	3912	>	-	-	-	-	GCF_003383745.1_ASM33837	003383745.1	NZ_QQPG01000102.1	Staphylococcus_pseudintermedius	4115	minus	203	203	NA	NA	-	0	0	0	-	Absent	NT	NT	1	0	1	ccrA1	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	249	2010	2258	>	-	-	-	-	GCF_003383995.1_ASM33839	003383995.1	NZ_QQTV01000113.1	Staphylococcus_pseudintermedius	4080	plus	249	249	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	248	2010	2257	>	-	-	-	-	GCF_003383975.1_ASM33839	003383975.1	NZ_QQPH01000166.1	Staphylococcus_pseudintermedius	NA	plus	248	248	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
-	-	-	-	-	-	-	-	-	-	-	-	3910	108	>4017	<	1804	2010	3813	>	-	-	-	-	GCF_003383925.1_ASM33839	003383925.1	NZ_QQPJ01000044.1	Staphylococcus_pseudintermedius	4096	minus	283	283	79	79	type5	0	0	0	type5	Absent	C2	NT	1	1	1	ccrA1	ccrB6	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	4682	108	>4789	<	2576	2010	4585	>	-	-	-	-	GCF_003185365.1_ASM31853	003185365.1	NZ_QEJK01000108.1	Staphylococcus_pseudintermedius	4789	minus	204	204	0	0	type5	0	0	0	type5	Absent	C2	NT	1	1	0	ccrA1	ccrB6	-	1
125967	675	126641	<	-	-	-	-	-	-	-	-	125819	108	>125926	<	123713	2010	125722	>	120383	675	121057	>	GCF_002976305.1_ASM29763	002976305.1	NZ_PRDQ01000001.1	Staphylococcus_pseudintermedius	323365	minus	197643	5000	197439	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
2398	675	3072	<	-	-	-	-	-	-	-	-	2250	108	>2357	<	144	2010	2153	>	-	-	-	-	GCF_002976235.1_ASM29762	002976235.1	NZ_PRDP01000003.1	Staphylococcus_pseudintermedius	41785	minus	39632	5000	39428	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	<36	108	143	<	240	2010	2249	>	-	-	-	-	GCF_002768275.1_ASM27682	002768275.1	NZ_PEPX01000018.1	Staphylococcus_pseudintermedius	4069	plus	240	240	36	36	type5	0	0	0	type5	Absent	C2	NT	0	0	0	-	-	-	1
2652520	675	2653194	<	-	-	-	-	-	-	-	-	2652372	108	>2652479	<	2650266	2010	2652275	>	<2647440	170	2647609	>	GCF_001685665.2_ASM16856	001685665.2	NZ_CP015626.1	Staphylococcus_pseudintermedius	2766566	minus	114291	5000	114087	5000	type5	0	0	1	type5	Present	C2	NT	0	0	0	-	-	-	1
38530	675	39204	<	-	-	-	-	-	-	-	-	<39245	108	39352	<	39449	2010	41458	>	-	-	-	-	GCF_002366435.1_ASM23664	002366435.1	NZ_MQNF01000020.1	Staphylococcus_pseudintermedius	41633	plus	39449	5000	39245	5000	type5	0	0	1	type5	Present	C2	NT	1	1	2	ccrA1	ccrB6	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1609	2010	3618	>	-	-	-	-	GCF_000542395.1_Stap_lugd_UCIM6116	000542395.1	NZ_KI978397.1	Staphylococcus_lugdunensis	3840	minus	222	222	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	266	2010	2275	>	-	-	-	-	GCF_007680405.1_ASM76804	007680405.1	NZ_VEID01000052.1	Staphylococcus_haemolyticus	4950	plus	266	266	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
100329	675	101003	<	-	-	-	-	-	-	-	-	-	-	-	-	98075	2010	100084	>	94745	675	95419	>	GCF_000009865.1_ASM98	000009865.1	NC_007168.1	Staphylococcus_haemolyticus	2685015	minus	2584931	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	1	-	-	ccrC1	1
4793	675	5467	<	-	-	-	-	-	-	-	-	4645	108	>4752	<	2539	2010	4548	>	-	-	-	-	GCF_003596385.1_ASM35963	003596385.1	NZ_QYYK01000043.1	Staphylococcus_haemolyticus	12567	minus	8019	5000	7815	5000	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	266	2010	2275	>	-	-	-	-	GCF_007680355.1_ASM76803	007680355.1	NZ_VEIB01000059.1	Staphylococcus_haemolyticus	4991	plus	266	266	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	2	-	-	ccrC1,ccrC1	1
1308840	675	1309514	<	-	-	-	-	-	-	-	-	1308692	108	>1308799	<	1306586	2010	1308595	>	1303296	675	1303970	>	GCF_003956005.1_ASM39560	003956005.1	NZ_CP033814.1	Staphylococcus_haemolyticus	2634118	minus	1325523	5000	1325319	5000	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
27762	675	28436	<	-	-	-	-	-	-	-	-	<28477	108	28584	<	28681	2010	30690	>	-	-	-	-	GCF_007680135.1_ASM76801	007680135.1	NZ_VEGW01000011.1	Staphylococcus_haemolyticus	33366	plus	28681	5000	28477	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
72959	675	73633	<	-	-	-	-	-	-	-	-	72811	108	>72918	<	70705	2010	72714	>	67375	675	68049	>	GCF_005706435.1_ASM57064	005706435.1	NZ_CP035541.1	Staphylococcus_haemolyticus	2615683	minus	2542969	5000	2542765	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
4083	675	4757	<	-	-	-	-	-	-	-	-	3935	108	>4042	<	1829	2010	3838	>	-	-	-	-	GCF_007680045.1_ASM76800	007680045.1	NZ_VEHQ01000035.1	Staphylococcus_haemolyticus	14949	minus	11111	5000	10907	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2667	2010	4676	>	<1	251	251	>	GCF_005146265.2_ASM51462	005146265.2	NZ_SWMR02000181.1	Staphylococcus_haemolyticus	4883	minus	207	207	NA	NA	-	0	0	0	-	Absent	NT	NT	1	0	1	ccrA4	-	ccrC1	1
-	-	-	-	-	-	-	-	6625	372	6996	<	4868	1758	6625	<	2762	2010	4771	>	-	-	-	-	GCF_007667035.1_ASM76670	007667035.1	NZ_VDQH01000059.1	Staphylococcus_haemolyticus	7247	minus	2476	2476	622	622	type2	1	0	0	type2	Absent	A	NT	0	0	1	-	-	ccrC1	1
10195	675	10869	<	-	-	-	-	-	-	-	-	<10910	108	11017	<	11114	2010	13123	>	-	-	-	-	GCF_007680015.1_ASM76800	007680015.1	NZ_VEHO01000041.1	Staphylococcus_haemolyticus	15545	plus	11114	5000	10910	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2677	2010	4686	>	-	-	-	-	GCF_007679585.1_ASM76795	007679585.1	NZ_VEGS01000056.1	Staphylococcus_haemolyticus	4951	minus	265	265	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	266	2010	2275	>	-	-	-	-	GCF_005048975.1_ASM50489	005048975.1	NZ_SUKZ01000021.1	Staphylococcus_haemolyticus	4991	plus	266	266	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2803	2010	4812	>	-	-	-	-	GCF_007667015.1_ASM76670	007667015.1	NZ_VDQG01000054.1	Staphylococcus_haemolyticus	5063	minus	251	251	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
<38	141	178	<	-	-	-	-	-	-	-	-	<219	108	326	<	423	2010	2432	>	4848	134	>4981	>	GCF_005048485.1_ASM50484	005048485.1	NZ_SUKW01000049.1	Staphylococcus_haemolyticus	4981	plus	423	423	219	219	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	252	2010	2261	>	-	-	-	-	GCF_007666145.1_ASM76661	007666145.1	NZ_VDOP01000055.1	Staphylococcus_haemolyticus	4963	plus	252	252	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	<102	108	209	<	306	2010	2315	>	-	-	-	-	GCF_005048355.1_ASM50483	005048355.1	NZ_SUKS01000096.1	Staphylococcus_haemolyticus	4991	plus	306	306	102	102	type5	0	0	0	type5	Absent	C2	NT	0	0	0	-	-	-	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2790	2010	4799	>	-	-	-	-	GCF_007665515.1_ASM76655	007665515.1	NZ_VDNK01000050.1	Staphylococcus_haemolyticus	5050	minus	251	251	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	252	2010	2261	>	-	-	-	-	GCF_007677135.1_ASM76771	007677135.1	NZ_VECB01000051.1	Staphylococcus_haemolyticus	5050	plus	252	252	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	252	2010	2261	>	-	-	-	-	GCF_007676945.1_ASM76769	007676945.1	NZ_VEBT01000051.1	Staphylococcus_haemolyticus	5023	plus	252	252	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	1	-	-	ccrC1	1
5195	285	>5479	<	-	-	-	-	-	-	-	-	5047	108	>5154	<	2941	2010	4950	>	<1	285	285	>	GCF_005047465.1_ASM50474	005047465.1	NZ_SUKV01000066.1	Staphylococcus_haemolyticus	5479	minus	529	529	325	325	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
5016	675	5690	<	-	-	-	-	-	-	-	-	4868	108	>4975	<	2762	2010	4771	>	-	-	-	-	GCF_007673425.1_ASM76734	007673425.1	NZ_VDZP01000048.1	Staphylococcus_haemolyticus	12753	minus	7982	5000	7778	5000	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
4891	69	>4959	>	-	-	-	-	-	-	-	-	-	-	-	-	2709	2010	4718	>	-	-	-	-	GCF_003428475.1_ASM34284	003428475.1	NZ_QVPW01000065.1	Staphylococcus_haemolyticus	4959	minus	241	241	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	0	-	-	-	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	224	2010	2233	>	-	-	-	-	GCF_003428465.1_ASM34284	003428465.1	NZ_QVPX01000064.1	Staphylococcus_haemolyticus	4942	plus	224	224	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
69579	675	70253	>	-	-	-	-	-	-	-	-	-	-	-	-	70426	2010	72435	>	75091	675	75765	>	GCF_002906595.1_ASM29065	002906595.1	NZ_CP024809.1	Staphylococcus_haemolyticus	2593983	plus	70426	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	1	0	0	ccrA4	-	-	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	114	2010	2123	>	-	-	-	-	GCF_001705085.1_ASM17050	001705085.1	NZ_JRAX01000092.1	Staphylococcus_haemolyticus	4722	plus	114	114	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
<1	92	92	<	-	-	-	-	-	-	-	-	<133	108	240	<	337	2010	2346	>	5002	133	>5134	>	GCF_001239605.1_7067_4	001239605.1	NZ_CUDY01000055.1	Staphylococcus_haemolyticus	5134	plus	337	337	133	133	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
4741	675	5415	<	-	-	-	-	-	-	-	-	-	-	-	-	2487	2010	4496	>	-	-	-	-	GCF_001529465.1_ASM15294	001529465.1	NZ_LRHM01000054.1	Staphylococcus_haemolyticus	15501	minus	11005	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	244	2010	2253	>	-	-	-	-	GCF_002276975.1_ASM22769	002276975.1	NZ_NCXH01000058.1	Staphylococcus_haemolyticus	NA	plus	244	244	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
217046	675	217720	<	-	-	-	-	-	-	-	-	-	-	-	-	217965	2010	219974	>	222430	675	223104	>	GCF_002165435.1_ASM21654	002165435.1	NZ_NFUG01000002.1	Staphylococcus_haemolyticus	1555818	plus	217965	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	1	1	2	ccrA4	ccrB4	ccrC1,ccrC1	1
75387	675	76061	<	-	-	-	-	-	-	-	-	-	-	-	-	73133	2010	75142	>	69803	675	70477	>	GCF_001975855.1_ASM19758	001975855.1	NZ_MTIZ01000001.1	Staphylococcus_haemolyticus	439342	minus	364200	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3735	2010	5744	>	-	-	-	-	GCF_001969875.1_ASM19698	001969875.1	NZ_MRUY01000053.1	Staphylococcus_haemolyticus	6821	minus	1077	1077	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
1780965	675	1781639	<	-	-	-	-	-	-	-	-	1780817	108	>1780924	<	1778711	2010	1780720	>	1775381	675	1776055	>	GCF_001471515.2_ASM14715	001471515.2	NZ_LOSE02000001.1	Staphylococcus_haemolyticus	2657633	minus	876913	5000	876709	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
878493	675	879167	<	-	-	-	-	-	-	-	-	<879208	108	879315	<	879412	2010	881421	>	884077	675	884751	>	GCF_002952715.2_ASM29527	002952715.2	NZ_CP025031.1	Staphylococcus_haemolyticus	2632932	plus	879412	5000	879208	5000	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
10364	675	11038	<	-	-	-	-	-	-	-	-	-	-	-	-	11283	2010	13292	>	15948	306	>16253	>	GCF_001969865.1_ASM19698	001969865.1	NZ_MRUZ01000038.1	Staphylococcus_haemolyticus	16253	plus	11283	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	1	1	2	ccrA1	ccrB1	ccrC1,ccrC1	1
4725	675	5399	<	-	-	-	-	-	-	-	-	<5440	108	5547	<	5644	2010	7653	>	10309	675	10983	>	GCF_001471285.1_ASM14712	001471285.1	NZ_LORN02000008.1	Staphylococcus_haemolyticus	NA	plus	5644	5000	5440	5000	type5	0	0	1	type5	Present	C2	NT	0	0	0	-	-	-	4
4949	96	>5046	>	-	-	-	-	-	-	-	-	-	-	-	-	2767	2010	4776	>	<1	111	111	>	GCF_002934085.1_ASM29340	002934085.1	NZ_PGWY01000688.1	Staphylococcus_haemolyticus	NA	minus	NA	NA	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	0	-	-	-	1
<1	259	259	<	-	-	-	-	-	-	-	-	<300	108	407	<	504	2010	2513	>	-	-	-	-	GCF_001239725.1_7068	001239725.1	NZ_CUFV01000055.1	Staphylococcus_haemolyticus	4934	plus	504	504	300	300	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
69579	675	70253	>	-	-	-	-	-	-	-	-	-	-	-	-	70426	2010	72435	>	75091	675	75765	>	GCF_002906615.1_ASM29066	002906615.1	NZ_CP025396.1	Staphylococcus_haemolyticus	2593418	plus	70426	5000	NA	NA	-	0	0	1	-	Present	mecA_only	NT	1	0	0	ccrA4	-	-	1
3001	675	3675	<	-	-	-	-	-	-	-	-	<3716	108	3823	<	3920	2010	5929	>	8585	232	>8816	>	GCF_001232285.1_7067_4	001232285.1	NZ_CUEX01000048.1	Staphylococcus_haemolyticus	8816	plus	3920	3920	3716	3716	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
<1	259	259	<	-	-	-	-	-	-	-	-	-	-	-	-	504	2010	2513	>	4929	153	>5081	>	GCF_001238085.1_7067_4	001238085.1	NZ_CUEM01000051.1	Staphylococcus_haemolyticus	5081	plus	504	504	NA	NA	-	0	0	1	-	Present	mecA_only	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2656	2010	4665	>	-	-	-	-	GCF_001236365.1_7067_4	001236365.1	NZ_CUDI01000061.1	Staphylococcus_haemolyticus	4838	minus	173	173	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	0	-	-	-	1
4720	675	5394	<	-	-	-	-	-	-	-	-	4572	108	>4679	<	2466	2010	4475	>	-	-	-	-	GCF_001233865.1_7068_7	001233865.1	NZ_CUFF01000043.1	Staphylococcus_haemolyticus	15610	minus	11135	5000	10931	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	<91	108	198	<	295	2010	2304	>	-	-	-	-	GCF_001232245.1_7067_4	001232245.1	NZ_CUCY01000058.1	Staphylococcus_haemolyticus	4718	plus	295	295	91	91	type5	0	0	0	type5	Absent	C2	NT	0	0	1	-	-	ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	<88	108	195	<	292	2010	2301	>	-	-	-	-	GCF_001235105.1_7068_7	001235105.1	NZ_CUFJ01000073.1	Staphylococcus_haemolyticus	4964	plus	292	292	88	88	type5	0	0	0	type5	Absent	C2	NT	0	0	1	-	-	ccrC1	1
4677	675	5351	<	-	-	-	-	-	-	-	-	4529	108	>4636	<	2423	2010	4432	>	-	-	-	-	GCF_001235085.1_7068_7	001235085.1	NZ_CUGW01000043.1	Staphylococcus_haemolyticus	15567	minus	11135	5000	10931	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
10218	675	10892	<	-	-	-	-	-	-	-	-	<10933	108	11040	<	11137	2010	13146	>	15762	173	>15934	>	GCF_001231825.1_7068_7	001231825.1	NZ_CUHB01000032.1	Staphylococcus_haemolyticus	15934	plus	11137	5000	10933	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
6656	675	7330	<	-	-	-	-	-	-	-	-	<7371	108	7478	<	7575	2010	9584	>	12054	282	>12335	>	GCF_001234585.1_7068_7	001234585.1	NZ_CUWC01000039.1	Staphylococcus_haemolyticus	12335	plus	7575	5000	7371	5000	type5	0	0	1	type5	Present	C2	NT	2	2	1	ccrA4,ccrA4	ccrB4,ccrB4	ccrC1	1
<1	259	259	<	-	-	-	-	-	-	-	-	<300	108	407	<	504	2010	2513	>	-	-	-	-	GCF_001234545.1_7068_7	001234545.1	NZ_CUGA01000053.1	Staphylococcus_haemolyticus	5206	plus	504	504	300	300	type5	0	0	1	type5	Present	C2	NT	2	2	2	ccrA1,ccrA5	ccrB1,ccrB3	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	241	2010	2250	>	4906	172	>5077	>	GCF_001231545.1_7068_7	001231545.1	NZ_CUGY01000063.1	Staphylococcus_haemolyticus	5077	plus	241	241	NA	NA	-	0	0	0	-	Absent	NT	NT	0	0	2	-	-	ccrC1,ccrC1	1
4673	675	5347	<	-	-	-	-	-	-	-	-	4525	108	>4632	<	2419	2010	4428	>	-	-	-	-	GCF_001234485.1_7068	001234485.1	NZ_CUFM01000043.1	Staphylococcus_haemolyticus	15562	minus	11134	5000	10930	5000	type5	0	0	1	type5	Present	C2	NT	0	0	2	-	-	ccrC1,ccrC1	1
-	-	-	-	-	-	-	-	-	-	-	-	<36	108	143	<	240	2010	2249	>	-	-	-	-	GCF_001237485.1_7067_4	001237485.1	NZ_CUEQ01000048.1	Staphylococcus_haemolyticus	4898	plus	240	240	36	36	type5	0	0	0	type5	Absent	C2	NT	1	1	0	ccrA2	ccrB2	-	1
<1	259	259	<	-	-	-	-	-	-	-	-	<300	108	407	<	504	2010	2513	>	-	-	-	-	GCF_001237425.1_7068	001237425.1	NZ_CUGF01000055.1	Staphylococcus_haemolyticus	4962	plus	504	504	300	300	type5	0	0	1	type5	Present	C2	NT	0	0	1	-	-	ccrC1	1
