seq_1|2557 #61d2ff ccrB2
seq_167|6 #009133 ccrB7
seq_169|6 #63ff7d ccrB1
seq_170|6 #63ff7d ccrB1
seq_172|5 #030bfc ccrB4
seq_173|5 #63ff7d ccrB1
seq_177|5 #009133 ccrB7
seq_180|5 #61d2ff ccrB2
seq_181|5 #030bfc ccrB4
seq_188|5 #61d2ff ccrB2
seq_189|5 #61d2ff ccrB2
seq_190|5 #61d2ff ccrB2
seq_195|5 #23db64 ccrB6
seq_198|5 #468bfa ccrB3
seq_208|4 #61d2ff ccrB2
seq_209|4 #61d2ff ccrB2
seq_212|4 #61d2ff ccrB2
seq_213|4 #030bfc ccrB4
seq_214|4 #61d2ff ccrB2
seq_216|4 #ff9999 ccrB8
seq_218|4 #468bfa ccrB3
seq_220|4 #61d2ff ccrB2
seq_221|4 #61d2ff ccrB2
seq_222|4 #61d2ff ccrB2
seq_223|4 #61d2ff ccrB2
seq_224|4 #61d2ff ccrB2
seq_226|4 #61d2ff ccrB2
seq_227|4 #61d2ff ccrB2
seq_229|4 #030bfc ccrB4
seq_235|4 #61d2ff ccrB2
seq_239|4 #63ff7d ccrB1
seq_241|4 #468bfa ccrB3
seq_244|3 #030bfc ccrB4
seq_245|3 #030bfc ccrB4
seq_249|3 #030bfc ccrB4
seq_254|3 #030bfc ccrB4
seq_256|3 #468bfa ccrB3
seq_262|3 #030bfc ccrB4
seq_264|3 #61d2ff ccrB2
seq_266|3 #61d2ff ccrB2
seq_269|3 #61d2ff ccrB2
seq_275|3 #468bfa ccrB3
seq_278|3 #468bfa ccrB3
seq_279|3 #61d2ff ccrB2
seq_281|3 #61d2ff ccrB2
seq_282|3 #61d2ff ccrB2
seq_285|3 #61d2ff ccrB2
seq_286|3 #61d2ff ccrB2
seq_287|3 #61d2ff ccrB2
seq_292|3 #61d2ff ccrB2
seq_307|3 #63ff7d ccrB1
seq_308|3 #468bfa ccrB3
seq_312|3 #468bfa ccrB3
seq_316|3 #63ff7d ccrB1
seq_325|2 #63ff7d ccrB1
seq_326|2 #009133 ccrB7
seq_332|2 #63ff7d ccrB1
seq_333|2 #63ff7d ccrB1
seq_335|2 #468bfa ccrB3
seq_336|2 #61d2ff ccrB2
seq_338|2 #468bfa ccrB3
seq_341|2 #030bfc ccrB4
seq_343|2 #030bfc ccrB4
seq_344|2 #030bfc ccrB4
seq_345|2 #030bfc ccrB4
seq_349|2 #468bfa ccrB3
seq_352|2 #63ff7d ccrB1
seq_355|2 #030bfc ccrB4
seq_356|2 #030bfc ccrB4
seq_359|2 #030bfc ccrB4
seq_364|2 #63ff7d ccrB1
seq_365|2 #63ff7d ccrB1
seq_366|2 #61d2ff ccrB2
seq_367|2 #030bfc ccrB4
seq_370|2 #030bfc ccrB4
seq_371|2 #61d2ff ccrB2
seq_372|2 #61d2ff ccrB2
seq_373|2 #61d2ff ccrB2
seq_374|2 #61d2ff ccrB2
seq_375|2 #61d2ff ccrB2
seq_378|2 #61d2ff ccrB2
seq_381|2 #61d2ff ccrB2
seq_390|2 #63ff7d ccrB1
seq_391|2 #468bfa ccrB3
seq_393|2 #468bfa ccrB3
seq_398|2 #61d2ff ccrB2
seq_399|2 #61d2ff ccrB2
seq_400|2 #61d2ff ccrB2
seq_402|2 #61d2ff ccrB2
seq_407|2 #61d2ff ccrB2
seq_411|2 #61d2ff ccrB2
seq_412|2 #61d2ff ccrB2
seq_413|2 #61d2ff ccrB2
seq_414|2 #61d2ff ccrB2
seq_416|2 #61d2ff ccrB2
seq_417|2 #61d2ff ccrB2
seq_421|2 #61d2ff ccrB2
seq_422|2 #61d2ff ccrB2
seq_423|2 #61d2ff ccrB2
seq_425|2 #61d2ff ccrB2
seq_427|2 #61d2ff ccrB2
seq_431|2 #030bfc ccrB4
seq_448|2 #ff9999 ccrB8
seq_451|2 #468bfa ccrB3
seq_452|2 #63ff7d ccrB1
seq_454|2 #63ff7d ccrB1
seq_456|2 #63ff7d ccrB1
seq_459|2 #63ff7d ccrB1
seq_460|2 #63ff7d ccrB1
seq_462|2 #468bfa ccrB3
seq_470|2 #63ff7d ccrB1
seq_471|2 #009133 ccrB7
seq_473|2 #468bfa ccrB3
seq_475|2 #468bfa ccrB3
seq_477|2 #468bfa ccrB3
seq_481|2 #63ff7d ccrB1
seq_484|2 #63ff7d ccrB1
seq_488|2 #468bfa ccrB3
seq_492|2 #468bfa ccrB3
seq_494|2 #468bfa ccrB3
seq_497|2 #f03232 ccrBn2
seq_499|1 #61d2ff ccrB2
seq_500|1 #61d2ff ccrB2
seq_501|1 #61d2ff ccrB2
seq_502|1 #61d2ff ccrB2
seq_503|1 #61d2ff ccrB2
seq_504|1 #61d2ff ccrB2
seq_505|1 #61d2ff ccrB2
seq_506|1 #61d2ff ccrB2
seq_507|1 #61d2ff ccrB2
seq_508|1 #61d2ff ccrB2
seq_509|1 #61d2ff ccrB2
seq_510|1 #468bfa ccrB3
seq_511|1 #468bfa ccrB3
seq_512|1 #030bfc ccrB4
seq_513|1 #030bfc ccrB4
seq_514|1 #23db64 ccrB6
seq_515|1 #ff9999 ccrB8
seq_518|1 #63ff7d ccrB1
seq_523|1 #63ff7d ccrB1
seq_529|1 #468bfa ccrB3
seq_532|1 #63ff7d ccrB1
seq_533|1 #468bfa ccrB3
seq_535|1 #468bfa ccrB3
seq_536|1 #030bfc ccrB4
seq_540|1 #030bfc ccrB4
seq_543|1 #030bfc ccrB4
seq_545|1 #030bfc ccrB4
seq_547|1 #030bfc ccrB4
seq_550|1 #030bfc ccrB4
seq_552|1 #030bfc ccrB4
seq_555|1 #030bfc ccrB4
seq_558|1 #030bfc ccrB4
seq_561|1 #030bfc ccrB4
seq_562|1 #030bfc ccrB4
seq_563|1 #030bfc ccrB4
seq_571|1 #63ff7d ccrB1
seq_575|1 #63ff7d ccrB1
seq_577|1 #63ff7d ccrB1
seq_583|1 #63ff7d ccrB1
seq_586|1 #63ff7d ccrB1
seq_587|1 #468bfa ccrB3
seq_588|1 #030bfc ccrB4
seq_590|1 #468bfa ccrB3
seq_592|1 #468bfa ccrB3
seq_595|1 #63ff7d ccrB1
seq_597|1 #468bfa ccrB3
seq_601|1 #63ff7d ccrB1
seq_602|1 #468bfa ccrB3
seq_603|1 #468bfa ccrB3
seq_604|1 #468bfa ccrB3
seq_606|1 #030bfc ccrB4
seq_608|1 #468bfa ccrB3
seq_611|1 #468bfa ccrB3
seq_612|1 #61d2ff ccrB2
seq_614|1 #030bfc ccrB4
seq_615|1 #030bfc ccrB4
seq_616|1 #030bfc ccrB4
seq_617|1 #030bfc ccrB4
seq_619|1 #030bfc ccrB4
seq_621|1 #030bfc ccrB4
seq_626|1 #030bfc ccrB4
seq_648|1 #61d2ff ccrB2
seq_650|1 #63ff7d ccrB1
seq_653|1 #63ff7d ccrB1
seq_654|1 #23db64 ccrB6
seq_659|1 #468bfa ccrB3
seq_661|1 #61d2ff ccrB2
seq_662|1 #468bfa ccrB3
seq_663|1 #030bfc ccrB4
seq_665|1 #61d2ff ccrB2
seq_667|1 #030bfc ccrB4
seq_668|1 #030bfc ccrB4
seq_670|1 #61d2ff ccrB2
seq_671|1 #61d2ff ccrB2
seq_675|1 #61d2ff ccrB2
seq_678|1 #61d2ff ccrB2
seq_679|1 #030bfc ccrB4
seq_682|1 #61d2ff ccrB2
seq_684|1 #61d2ff ccrB2
seq_687|1 #61d2ff ccrB2
seq_690|1 #61d2ff ccrB2
seq_691|1 #61d2ff ccrB2
seq_694|1 #61d2ff ccrB2
seq_696|1 #61d2ff ccrB2
seq_697|1 #61d2ff ccrB2
seq_699|1 #61d2ff ccrB2
seq_700|1 #030bfc ccrB4
seq_702|1 #61d2ff ccrB2
seq_703|1 #61d2ff ccrB2
seq_704|1 #61d2ff ccrB2
seq_706|1 #61d2ff ccrB2
seq_707|1 #61d2ff ccrB2
seq_709|1 #61d2ff ccrB2
seq_729|1 #61d2ff ccrB2
seq_730|1 #61d2ff ccrB2
seq_742|1 #61d2ff ccrB2
seq_747|1 #63ff7d ccrB1
seq_749|1 #63ff7d ccrB1
seq_750|1 #63ff7d ccrB1
seq_753|1 #63ff7d ccrB1
seq_755|1 #63ff7d ccrB1
seq_757|1 #61d2ff ccrB2
seq_758|1 #63ff7d ccrB1
seq_761|1 #63ff7d ccrB1
seq_762|1 #468bfa ccrB3
seq_765|1 #468bfa ccrB3
seq_766|1 #61d2ff ccrB2
seq_767|1 #468bfa ccrB3
seq_769|1 #468bfa ccrB3
seq_770|1 #468bfa ccrB3
seq_772|1 #63ff7d ccrB1
seq_773|1 #468bfa ccrB3
seq_774|1 #468bfa ccrB3
seq_776|1 #63ff7d ccrB1
seq_779|1 #63ff7d ccrB1
seq_781|1 #ff9999 ccrB8
seq_782|1 #23db64 ccrB6
seq_784|1 #468bfa ccrB3
seq_785|1 #468bfa ccrB3
seq_786|1 #468bfa ccrB3
seq_789|1 #61d2ff ccrB2
seq_790|1 #61d2ff ccrB2
seq_792|1 #61d2ff ccrB2
seq_793|1 #468bfa ccrB3
seq_796|1 #468bfa ccrB3
seq_797|1 #468bfa ccrB3
seq_798|1 #468bfa ccrB3
seq_804|1 #468bfa ccrB3
seq_805|1 #468bfa ccrB3
seq_812|1 #61d2ff ccrB2
seq_814|1 #61d2ff ccrB2
seq_817|1 #61d2ff ccrB2
seq_821|1 #61d2ff ccrB2
seq_823|1 #61d2ff ccrB2
seq_825|1 #61d2ff ccrB2
seq_827|1 #61d2ff ccrB2
seq_828|1 #61d2ff ccrB2
seq_829|1 #61d2ff ccrB2
seq_830|1 #61d2ff ccrB2
seq_831|1 #61d2ff ccrB2
seq_833|1 #61d2ff ccrB2
seq_835|1 #61d2ff ccrB2
seq_836|1 #61d2ff ccrB2
seq_837|1 #61d2ff ccrB2
seq_838|1 #61d2ff ccrB2
seq_840|1 #61d2ff ccrB2
seq_841|1 #61d2ff ccrB2
seq_842|1 #61d2ff ccrB2
seq_843|1 #61d2ff ccrB2
seq_844|1 #61d2ff ccrB2
seq_845|1 #61d2ff ccrB2
seq_846|1 #61d2ff ccrB2
seq_847|1 #030bfc ccrB4
seq_848|1 #61d2ff ccrB2
seq_849|1 #61d2ff ccrB2
seq_850|1 #61d2ff ccrB2
seq_852|1 #030bfc ccrB4
seq_853|1 #61d2ff ccrB2
seq_856|1 #61d2ff ccrB2
seq_857|1 #61d2ff ccrB2
seq_859|1 #030bfc ccrB4
seq_860|1 #61d2ff ccrB2
seq_863|1 #030bfc ccrB4
seq_872|1 #61d2ff ccrB2
seq_876|1 #468bfa ccrB3
seq_878|1 #61d2ff ccrB2
seq_879|1 #61d2ff ccrB2
seq_883|1 #61d2ff ccrB2
seq_889|1 #61d2ff ccrB2
seq_892|1 #61d2ff ccrB2
seq_894|1 #61d2ff ccrB2
seq_897|1 #61d2ff ccrB2
seq_900|1 #61d2ff ccrB2
seq_901|1 #61d2ff ccrB2
seq_902|1 #61d2ff ccrB2
seq_903|1 #61d2ff ccrB2
seq_904|1 #61d2ff ccrB2
seq_905|1 #61d2ff ccrB2
seq_906|1 #61d2ff ccrB2
seq_907|1 #61d2ff ccrB2
seq_908|1 #61d2ff ccrB2
seq_909|1 #61d2ff ccrB2
seq_910|1 #61d2ff ccrB2
seq_911|1 #61d2ff ccrB2
seq_912|1 #61d2ff ccrB2
seq_913|1 #61d2ff ccrB2
seq_914|1 #61d2ff ccrB2
seq_915|1 #61d2ff ccrB2
seq_918|1 #61d2ff ccrB2
seq_919|1 #61d2ff ccrB2
seq_920|1 #61d2ff ccrB2
seq_922|1 #61d2ff ccrB2
seq_923|1 #61d2ff ccrB2
seq_924|1 #61d2ff ccrB2
seq_926|1 #61d2ff ccrB2
seq_927|1 #61d2ff ccrB2
seq_928|1 #61d2ff ccrB2
seq_929|1 #61d2ff ccrB2
seq_930|1 #61d2ff ccrB2
seq_931|1 #61d2ff ccrB2
seq_938|1 #61d2ff ccrB2
seq_947|1 #61d2ff ccrB2
seq_949|1 #61d2ff ccrB2
seq_950|1 #61d2ff ccrB2
seq_951|1 #61d2ff ccrB2
seq_952|1 #61d2ff ccrB2
seq_953|1 #61d2ff ccrB2
seq_954|1 #61d2ff ccrB2
seq_955|1 #030bfc ccrB4
seq_956|1 #61d2ff ccrB2
seq_958|1 #61d2ff ccrB2
seq_959|1 #61d2ff ccrB2
seq_961|1 #61d2ff ccrB2
seq_962|1 #61d2ff ccrB2
seq_963|1 #61d2ff ccrB2
seq_964|1 #61d2ff ccrB2
seq_975|1 #61d2ff ccrB2
seq_984|1 #030bfc ccrB4
seq_987|1 #61d2ff ccrB2
seq_988|1 #61d2ff ccrB2
seq_989|1 #030bfc ccrB4
seq_1064|1 #63ff7d ccrB1
seq_1067|1 #468bfa ccrB3
seq_1068|1 #23db64 ccrB6
seq_1070|1 #23db64 ccrB6
seq_1073|1 #23db64 ccrB6
seq_1075|1 #468bfa ccrB3
seq_1078|1 #468bfa ccrB3
seq_1080|1 #63ff7d ccrB1
seq_1081|1 #468bfa ccrB3
seq_1083|1 #468bfa ccrB3
seq_1085|1 #ff9999 ccrB8
seq_1088|1 #468bfa ccrB3
seq_1089|1 #468bfa ccrB3
seq_1092|1 #468bfa ccrB3
seq_1093|1 #468bfa ccrB3
seq_1097|1 #468bfa ccrB3
seq_1101|1 #63ff7d ccrB1
seq_1102|1 #63ff7d ccrB1
seq_1104|1 #468bfa ccrB3
seq_1105|1 #63ff7d ccrB1
seq_1107|1 #61d2ff ccrB2
seq_1109|1 #61d2ff ccrB2
seq_1112|1 #63ff7d ccrB1
seq_1113|1 #63ff7d ccrB1
seq_1119|1 #63ff7d ccrB1
seq_1121|1 #63ff7d ccrB1
seq_1123|1 #468bfa ccrB3
seq_1137|1 #63ff7d ccrB1
seq_1138|1 #23db64 ccrB6
seq_1142|1 #63ff7d ccrB1
seq_1143|1 #63ff7d ccrB1
seq_1145|1 #63ff7d ccrB1
seq_1147|1 #63ff7d ccrB1
seq_1153|1 #63ff7d ccrB1
seq_1155|1 #009133 ccrB7
seq_1157|1 #468bfa ccrB3
seq_1159|1 #009133 ccrB7
seq_1161|1 #468bfa ccrB3
seq_1164|1 #63ff7d ccrB1
seq_1166|1 #23db64 ccrB6
seq_1168|1 #63ff7d ccrB1
seq_1170|1 #23db64 ccrB6
seq_1173|1 #63ff7d ccrB1
seq_1174|1 #23db64 ccrB6
seq_1177|1 #63ff7d ccrB1
seq_1179|1 #468bfa ccrB3
seq_1183|1 #63ff7d ccrB1
seq_1184|1 #63ff7d ccrB1
seq_1188|1 #63ff7d ccrB1
seq_1189|1 #468bfa ccrB3
seq_1190|1 #468bfa ccrB3
seq_1192|1 #468bfa ccrB3
seq_1194|1 #468bfa ccrB3
seq_1202|1 #63ff7d ccrB1
seq_1204|1 #23db64 ccrB6
seq_1206|1 #468bfa ccrB3
seq_1208|1 #23db64 ccrB6
seq_1210|1 #468bfa ccrB3
seq_1211|1 #468bfa ccrB3
seq_1215|1 #030bfc ccrB4
seq_1217|1 #ff9999 ccrB8
seq_1222|1 #468bfa ccrB3
seq_1224|1 #468bfa ccrB3
seq_1231|1 #63ff7d ccrB1
seq_1234|1 #63ff7d ccrB1
seq_1236|1 #23db64 ccrB6
seq_1239|1 #ff9999 ccrB8
seq_1240|1 #468bfa ccrB3
seq_1242|1 #468bfa ccrB3
seq_1243|1 #ff9999 ccrB8
seq_1246|1 #ff9999 ccrB8
seq_1249|1 #468bfa ccrB3
seq_1255|1 #63ff7d ccrB1
seq_1257|1 #468bfa ccrB3
seq_1258|1 #ff9999 ccrB8
seq_1260|1 #468bfa ccrB3
seq_1262|1 #63ff7d ccrB1
seq_1264|1 #ff9999 ccrB8
seq_1266|1 #468bfa ccrB3
seq_1268|1 #ff9999 ccrB8
seq_1272|1 #468bfa ccrB3
seq_1276|1 #468bfa ccrB3
seq_1277|1 #468bfa ccrB3
seq_1278|1 #009133 ccrB7
seq_1281|1 #23db64 ccrB6
seq_1283|1 #468bfa ccrB3
seq_1288|1 #63ff7d ccrB1
seq_1290|1 #ff9999 ccrB8
seq_1292|1 #c90000 ccrBn1
seq_1296|1 #468bfa ccrB3
seq_1298|1 #468bfa ccrB3
seq_1301|1 #63ff7d ccrB1
seq_1303|1 #63ff7d ccrB1
seq_1306|1 #468bfa ccrB3
seq_1307|1 #468bfa ccrB3
seq_1308|1 #63ff7d ccrB1
seq_1311|1 #468bfa ccrB3
seq_1312|1 #23db64 ccrB6
seq_1314|1 #468bfa ccrB3
seq_1317|1 #468bfa ccrB3
seq_1319|1 #61d2ff ccrB2
seq_1321|1 #030bfc ccrB4
seq_1325|1 #ff9999 ccrB8
seq_1328|1 #ff9999 ccrB8
seq_1330|1 #009133 ccrB7
seq_1334|1 #468bfa ccrB3
seq_1336|1 #468bfa ccrB3
seq_1339|1 #468bfa ccrB3
seq_1340|1 #468bfa ccrB3
seq_1342|1 #009133 ccrB7
seq_1344|1 #468bfa ccrB3
seq_1346|1 #468bfa ccrB3
seq_1348|1 #468bfa ccrB3
seq_1350|1 #468bfa ccrB3
seq_1352|1 #468bfa ccrB3
seq_1355|1 #468bfa ccrB3
seq_1357|1 #030bfc ccrB4
seq_1359|1 #61d2ff ccrB2
seq_1361|1 #468bfa ccrB3
