DATASET_COLORSTRIP
#In colored strip datasets, each ID is associated to a color box/strip and can have an optional label. Color can be specified in hexadecimal, RGB or RGBA notation. When using RGB or RGBA notation, you cannot use COMMA as the dataset separator

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#SEPARATOR TAB
#SEPARATOR COMMA
SEPARATOR SPACE

#label is used in the legend table (can be changed later)
#DATASET_LABEL label1
#DATASET_LABEL label1
DATASET_LABEL ccrA_allotype

#dataset color (can be changed later)
#COLOR #ff0000

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#If COLOR_BRANCHES is set to 1, branches of the tree will be colored according to the colors of the strips above the leaves.
#When all children of a node have the same color, it will be colored the same, ie. the color will propagate inwards towards the root.
COLOR_BRANCHES 0

#each dataset can have a legend, which is defined below
#for each row in the legend, there should be one shape, color and label
#shape should be a number between 1 and 6:
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

LEGEND_TITLE Dataset_legend
LEGEND_SHAPES 1
LEGEND_COLORS #A6CEE3 #1F78B4 #B2DF8A #33A02C #FB9A99 #E31A1C #FDBF6F #FF7F00 #CAB2D6 #6A3D9A #FFFF99 #B15928 #d9d9d9
#LEGEND_LABELS ccrA ccrB ccrC ccrN1 ccrN2 ccrN3 ccrN4

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#width of the colored strip
#STRIP_WIDTH 25

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#border width; if set above 0, a border of specified width (in pixels) will be drawn around the color strip 
#BORDER_WIDTH 0

#border color; used when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages

#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA

#Examples:
#assign a red colored strip to leaf 9606, with label 'Human' (label is displayed in the mouseover popups)
#9606 #ff0000 Human

#assign a green, semi-transparent (alpha 0.5) strip to an internal node, without any label. If 'Show internal values' is set to 'No', this will only be displayed if the node is collapsed. 
#9606|5664 rgba(0,255,0,0.5)

seq_2|2463 #A6CEE3 ccrA2
seq_764|1 #A6CEE3 ccrA2
seq_765|1 #A6CEE3 ccrA2
seq_766|1 #A6CEE3 ccrA2
seq_767|1 #A6CEE3 ccrA2
seq_768|1 #A6CEE3 ccrA2
seq_769|1 #A6CEE3 ccrA2
seq_770|1 #B2DF8A ccrA4
seq_771|1 #B2DF8A ccrA4
seq_793|1 #33A02C ccrA1
seq_794|1 #33A02C ccrA1
seq_795|1 #33A02C ccrA1
seq_796|1 #33A02C ccrA1
seq_801|1 #33A02C ccrA1
seq_802|1 #33A02C ccrA1
seq_804|1 #33A02C ccrA1
seq_806|1 #A6CEE3 ccrA2
seq_810|1 #33A02C ccrA1
seq_813|1 #33A02C ccrA1
seq_814|1 #33A02C ccrA1
seq_818|1 #33A02C ccrA1
seq_821|1 #33A02C ccrA1
seq_827|1 #FDBF6F ccrAn13
seq_828|1 #33A02C ccrA1
seq_830|1 #6A3D9A ccrAn7
seq_833|1 #E31A1C ccrAn8
seq_837|1 #FB9A99 ccrA5
seq_838|1 #A6CEE3 ccrA2
seq_841|1 #A6CEE3 ccrA2
seq_849|1 #1F78B4 ccrA3
seq_861|1 #1F78B4 ccrA3
seq_863|1 #A6CEE3 ccrA2
seq_866|1 #1F78B4 ccrA3
seq_868|1 #A6CEE3 ccrA2
seq_871|1 #A6CEE3 ccrA2
seq_874|1 #A6CEE3 ccrA2
seq_876|1 #A6CEE3 ccrA2
seq_882|1 #A6CEE3 ccrA2
seq_889|1 #A6CEE3 ccrA2
seq_901|1 #A6CEE3 ccrA2
seq_904|1 #A6CEE3 ccrA2
seq_905|1 #A6CEE3 ccrA2
seq_908|1 #A6CEE3 ccrA2
seq_911|1 #B2DF8A ccrA4
seq_912|1 #A6CEE3 ccrA2
seq_914|1 #A6CEE3 ccrA2
seq_915|1 #A6CEE3 ccrA2
seq_916|1 #A6CEE3 ccrA2
seq_917|1 #A6CEE3 ccrA2
seq_918|1 #A6CEE3 ccrA2
seq_919|1 #A6CEE3 ccrA2
seq_920|1 #A6CEE3 ccrA2
seq_921|1 #A6CEE3 ccrA2
seq_923|1 #A6CEE3 ccrA2
seq_924|1 #A6CEE3 ccrA2
seq_925|1 #A6CEE3 ccrA2
seq_927|1 #FB9A99 ccrA5
seq_930|1 #A6CEE3 ccrA2
seq_931|1 #A6CEE3 ccrA2
seq_932|1 #A6CEE3 ccrA2
seq_934|1 #A6CEE3 ccrA2
seq_935|1 #A6CEE3 ccrA2
seq_936|1 #A6CEE3 ccrA2
seq_937|1 #A6CEE3 ccrA2
seq_938|1 #A6CEE3 ccrA2
seq_940|1 #A6CEE3 ccrA2
seq_943|1 #A6CEE3 ccrA2
seq_945|1 #A6CEE3 ccrA2
seq_949|1 #A6CEE3 ccrA2
seq_950|1 #A6CEE3 ccrA2
seq_967|1 #A6CEE3 ccrA2
seq_968|1 #A6CEE3 ccrA2
seq_972|1 #A6CEE3 ccrA2
seq_976|1 #B2DF8A ccrA4
seq_983|1 #A6CEE3 ccrA2
seq_984|1 #A6CEE3 ccrA2
seq_985|1 #A6CEE3 ccrA2
seq_986|1 #A6CEE3 ccrA2
seq_987|1 #A6CEE3 ccrA2
seq_988|1 #A6CEE3 ccrA2
seq_990|1 #A6CEE3 ccrA2
seq_991|1 #A6CEE3 ccrA2
seq_992|1 #A6CEE3 ccrA2
seq_993|1 #A6CEE3 ccrA2
seq_995|1 #A6CEE3 ccrA2
seq_996|1 #A6CEE3 ccrA2
seq_997|1 #A6CEE3 ccrA2
seq_999|1 #A6CEE3 ccrA2
seq_1011|1 #A6CEE3 ccrA2
seq_1014|1 #A6CEE3 ccrA2
seq_1019|1 #A6CEE3 ccrA2
seq_1020|1 #A6CEE3 ccrA2
seq_1021|1 #A6CEE3 ccrA2
seq_1022|1 #A6CEE3 ccrA2
seq_1023|1 #A6CEE3 ccrA2
seq_1024|1 #A6CEE3 ccrA2
seq_1025|1 #A6CEE3 ccrA2
seq_1026|1 #A6CEE3 ccrA2
seq_1027|1 #A6CEE3 ccrA2
seq_1028|1 #A6CEE3 ccrA2
seq_1030|1 #A6CEE3 ccrA2
seq_1032|1 #A6CEE3 ccrA2
seq_1033|1 #A6CEE3 ccrA2
seq_1034|1 #A6CEE3 ccrA2
seq_1035|1 #A6CEE3 ccrA2
seq_1036|1 #A6CEE3 ccrA2
seq_1037|1 #A6CEE3 ccrA2
seq_1039|1 #B2DF8A ccrA4
seq_1119|1 #33A02C ccrA1
seq_1122|1 #33A02C ccrA1
seq_1128|1 #33A02C ccrA1
seq_1133|1 #33A02C ccrA1
seq_1135|1 #33A02C ccrA1
seq_1136|1 #33A02C ccrA1
seq_1138|1 #FF7F00 ccrAn6
seq_1141|1 #FDBF6F ccrAn13
seq_1143|1 #B15928 ccrAn11
seq_1145|1 #FF7F00 ccrAn6
seq_1148|1 #CAB2D6 ccrAn5
seq_1151|1 #1F78B4 ccrA3
seq_1152|1 #1F78B4 ccrA3
seq_1155|1 #1F78B4 ccrA3
seq_1157|1 #B15928 ccrAn11
seq_1169|1 #6A3D9A ccrAn7
seq_1171|1 #A6CEE3 ccrA2
seq_1173|1 #A6CEE3 ccrA2
seq_1175|1 #33A02C ccrA1
seq_1182|1 #33A02C ccrA1
seq_1184|1 #33A02C ccrA1
seq_1186|1 #33A02C ccrA1
seq_1187|1 #33A02C ccrA1
seq_1194|1 #33A02C ccrA1
seq_1197|1 #A6CEE3 ccrA2
seq_1205|1 #33A02C ccrA1
seq_1208|1 #E31A1C ccrAn8
seq_1209|1 #E31A1C ccrAn8
seq_1210|1 #E31A1C ccrAn8
seq_1213|1 #E31A1C ccrAn8
seq_1215|1 #E31A1C ccrAn8
seq_1217|1 #E31A1C ccrAn8
seq_1218|1 #E31A1C ccrAn8
seq_1219|1 #E31A1C ccrAn8
seq_1220|1 #E31A1C ccrAn8
seq_1221|1 #E31A1C ccrAn8
seq_1223|1 #B15928 ccrAn11
seq_1225|1 #E31A1C ccrAn8
seq_1229|1 #B15928 ccrAn11
seq_1231|1 #E31A1C ccrAn8
seq_1237|1 #33A02C ccrA1
seq_1240|1 #33A02C ccrA1
seq_1243|1 #33A02C ccrA1
seq_1245|1 #1F78B4 ccrA3
seq_1247|1 #33A02C ccrA1
seq_1250|1 #33A02C ccrA1
seq_1252|1 #33A02C ccrA1
seq_1260|1 #33A02C ccrA1
seq_1264|1 #FB9A99 ccrA5
seq_1272|1 #33A02C ccrA1
seq_1274|1 #33A02C ccrA1
seq_1276|1 #33A02C ccrA1
seq_1278|1 #33A02C ccrA1
seq_1281|1 #33A02C ccrA1
seq_1283|1 #6A3D9A ccrAn7
seq_1285|1 #FF7F00 ccrAn6
seq_1289|1 #1F78B4 ccrA3
seq_1293|1 #1F78B4 ccrA3
seq_1301|1 #33A02C ccrA1
seq_1302|1 #33A02C ccrA1
seq_1304|1 #FF7F00 ccrAn6
seq_1307|1 #33A02C ccrA1
seq_1310|1 #FF7F00 ccrAn6
seq_1313|1 #FF7F00 ccrAn6
seq_1314|1 #B15928 ccrAn11
seq_1316|1 #FB9A99 ccrA5
seq_1323|1 #FDBF6F ccrAn13
seq_1325|1 #33A02C ccrA1
seq_1328|1 #FF7F00 ccrAn6
seq_1330|1 #1F78B4 ccrA3
seq_1334|1 #FF7F00 ccrAn6
seq_1336|1 #FDBF6F ccrAn13
seq_1338|1 #FF7F00 ccrAn6
seq_1346|1 #FF7F00 ccrAn6
seq_1347|1 #B15928 ccrAn11
seq_1355|1 #33A02C ccrA1
seq_1356|1 #33A02C ccrA1
seq_1358|1 #FDBF6F ccrAn13
seq_1362|1 #6A3D9A ccrAn7
seq_1363|1 #33A02C ccrA1
seq_1365|1 #FF7F00 ccrAn6
seq_1369|1 #d9d9d9 ccrAn1
seq_1371|1 #33A02C ccrA1
seq_1372|1 #33A02C ccrA1
seq_1375|1 #E31A1C ccrAn8
seq_1379|1 #FF7F00 ccrAn6
seq_1384|1 #FF7F00 ccrAn6
seq_1385|1 #FDBF6F ccrAn13
seq_1388|1 #33A02C ccrA1
seq_1389|1 #FDBF6F ccrAn13
seq_1394|1 #A6CEE3 ccrA2
seq_1396|1 #B2DF8A ccrA4
seq_1400|1 #FF7F00 ccrAn6
seq_1402|1 #FDBF6F ccrAn13
seq_1403|1 #FF7F00 ccrAn6
seq_1405|1 #1F78B4 ccrA3
seq_1408|1 #FF7F00 ccrAn6
seq_1410|1 #FDBF6F ccrAn13
seq_1412|1 #1F78B4 ccrA3
seq_1415|1 #FDBF6F ccrAn13
seq_1418|1 #FB9A99 ccrA5
seq_1420|1 #FB9A99 ccrA5
seq_1424|1 #FB9A99 ccrA5
seq_1426|1 #FB9A99 ccrA5
seq_1428|1 #FB9A99 ccrA5
seq_1433|1 #FB9A99 ccrA5
seq_1437|1 #A6CEE3 ccrA2
seq_1441|1 #1F78B4 ccrA3
