seq_1|2569 #000000 ccrB2
seq_138|7 #000000 ccrB2
seq_139|7 #000000 ccrB2
seq_142|7 #808000 ccrB4
seq_144|7 #808080 ccrBn9
seq_149|6 #808000 ccrB4
seq_150|6 #808000 ccrB4
seq_155|6 #808000 ccrB4
seq_160|6 #000000 ccrB2
seq_163|6 #000000 ccrB2
seq_165|6 #000000 ccrB2
seq_168|6 #808000 ccrB4
seq_169|6 #80FF80 ccrB7
seq_171|6 #80FF00 ccrB6
seq_172|6 #808080 ccrBn9
seq_175|6 #000080 ccrB3
seq_177|5 #808000 ccrB4
seq_178|5 #FF8000 ccrB1
seq_183|5 #80FF80 ccrB7
seq_186|5 #000000 ccrB2
seq_189|5 #000000 ccrB2
seq_190|5 #808000 ccrB4
seq_197|5 #000000 ccrB2
seq_198|5 #000000 ccrB2
seq_199|5 #000000 ccrB2
seq_206|5 #FF0080 ccrBn12
seq_209|4 #FF8080 ccrBn2
seq_214|4 #000000 ccrB2
seq_215|4 #000000 ccrB2
seq_216|4 #808000 ccrB4
seq_218|4 #000000 ccrB2
seq_221|4 #0000FF ccrB8
seq_223|4 #FF0000 ccrB3
seq_225|4 #000000 ccrB2
seq_226|4 #000000 ccrB2
seq_227|4 #000000 ccrB2
seq_228|4 #000000 ccrB2
seq_229|4 #000000 ccrB2
seq_231|4 #000000 ccrB2
seq_232|4 #000000 ccrB2
seq_234|4 #808000 ccrB4
seq_241|4 #000000 ccrB2
seq_245|4 #FF00FF ccrBn13
seq_247|4 #FF8000 ccrB1
seq_252|3 #808000 ccrB4
seq_253|3 #808000 ccrB4
seq_257|3 #808000 ccrB4
seq_259|3 #808000 ccrB4
seq_263|3 #808000 ccrB4
seq_265|3 #FF0080 ccrBn12
seq_266|3 #FF8080 ccrBn2
seq_267|3 #FF8080 ccrBn2
seq_270|3 #000000 ccrB2
seq_272|3 #808000 ccrB4
seq_275|3 #000000 ccrB2
seq_277|3 #000000 ccrB2
seq_280|3 #000000 ccrB2
seq_286|3 #000080 ccrB3
seq_287|3 #FF00FF ccrBn13
seq_290|3 #000080 ccrB3
seq_291|3 #000000 ccrB2
seq_293|3 #000000 ccrB2
seq_294|3 #000000 ccrB2
seq_298|3 #000000 ccrB2
seq_299|3 #000000 ccrB2
seq_300|3 #000000 ccrB2
seq_305|3 #000000 ccrB2
seq_320|3 #808080 ccrBn9
seq_323|3 #000080 ccrB3
seq_325|3 #FF0000 ccrB3
seq_329|3 #FF8000 ccrB1
seq_331|3 #0080FF ccrBn4
seq_340|2 #FF8000 ccrB1
seq_341|2 #80FF80 ccrB7
seq_344|2 #FF80FF ccrBn1
seq_347|2 #FF8000 ccrB1
seq_348|2 #FF8000 ccrB1
seq_350|2 #FF8000 ccrB1
seq_352|2 #000080 ccrB3
seq_353|2 #000000 ccrB2
seq_355|2 #000080 ccrB3
seq_358|2 #808000 ccrB4
seq_360|2 #808000 ccrB4
seq_362|2 #808000 ccrB4
seq_364|2 #FF80FF ccrBn1
seq_366|2 #000080 ccrB3
seq_369|2 #FF8000 ccrB1
seq_371|2 #808000 ccrB4
seq_372|2 #808000 ccrB4
seq_373|2 #808000 ccrB4
seq_376|2 #808000 ccrB4
seq_381|2 #FF8000 ccrB1
seq_382|2 #FF8000 ccrB1
seq_384|2 #000000 ccrB2
seq_385|2 #808000 ccrB4
seq_388|2 #808000 ccrB4
seq_389|2 #000000 ccrB2
seq_390|2 #000000 ccrB2
seq_391|2 #000000 ccrB2
seq_394|2 #000000 ccrB2
seq_395|2 #000000 ccrB2
seq_396|2 #000000 ccrB2
seq_399|2 #000000 ccrB2
seq_400|2 #000000 ccrB2
seq_403|2 #000000 ccrB2
seq_413|2 #FF8000 ccrB1
seq_415|2 #000080 ccrB3
seq_420|2 #000000 ccrB2
seq_421|2 #000000 ccrB2
seq_422|2 #000000 ccrB2
seq_424|2 #000000 ccrB2
seq_429|2 #000000 ccrB2
seq_433|2 #000000 ccrB2
seq_434|2 #000000 ccrB2
seq_435|2 #000000 ccrB2
seq_436|2 #000000 ccrB2
seq_438|2 #000000 ccrB2
seq_439|2 #000000 ccrB2
seq_442|2 #000000 ccrB2
seq_443|2 #000000 ccrB2
seq_444|2 #000000 ccrB2
seq_445|2 #000000 ccrB2
seq_447|2 #000000 ccrB2
seq_449|2 #000000 ccrB2
seq_454|2 #808000 ccrB4
seq_470|2 #0000FF ccrB8
seq_473|2 #000080 ccrB3
seq_475|2 #FF8000 ccrB1
seq_476|2 #FF8000 ccrB1
seq_479|2 #808080 ccrBn9
seq_481|2 #808080 ccrBn9
seq_484|2 #808080 ccrBn9
seq_485|2 #808080 ccrBn9
seq_487|2 #000080 ccrB3
seq_488|2 #FF8000 ccrB1
seq_491|2 #FF8000 ccrB1
seq_501|2 #FF8000 ccrB1
seq_502|2 #80FF80 ccrB7
seq_504|2 #000080 ccrB3
seq_508|2 #000080 ccrB3
seq_512|2 #FF8000 ccrB1
seq_514|2 #80FF00 ccrB6
seq_518|2 #FF8000 ccrB1
seq_522|2 #FF0080 ccrBn12
seq_524|2 #80FF00 ccrB6
seq_526|2 #000080 ccrB3
seq_530|2 #000080 ccrB3
seq_532|2 #FF0000 ccrB3
seq_535|1 #000000 ccrB2
seq_536|1 #000000 ccrB2
seq_537|1 #000000 ccrB2
seq_538|1 #000000 ccrB2
seq_539|1 #000000 ccrB2
seq_540|1 #000000 ccrB2
seq_541|1 #000000 ccrB2
seq_542|1 #000000 ccrB2
seq_543|1 #000000 ccrB2
seq_544|1 #000000 ccrB2
seq_545|1 #000000 ccrB2
seq_546|1 #FF0000 ccrB3
seq_547|1 #000080 ccrB3
seq_548|1 #808000 ccrB4
seq_549|1 #808000 ccrB4
seq_550|1 #80FF00 ccrB6
seq_551|1 #0000FF ccrB8
seq_554|1 #FF8000 ccrB1
seq_558|1 #FF80FF ccrBn1
seq_560|1 #FF8000 ccrB1
seq_561|1 #FF80FF ccrBn1
seq_566|1 #000080 ccrB3
seq_569|1 #FF8000 ccrB1
seq_570|1 #000080 ccrB3
seq_572|1 #000080 ccrB3
seq_575|1 #808000 ccrB4
seq_578|1 #FF80FF ccrBn1
seq_579|1 #808000 ccrB4
seq_582|1 #808000 ccrB4
seq_584|1 #808000 ccrB4
seq_586|1 #808000 ccrB4
seq_588|1 #808000 ccrB4
seq_590|1 #808000 ccrB4
seq_593|1 #808000 ccrB4
seq_596|1 #808000 ccrB4
seq_599|1 #808000 ccrB4
seq_600|1 #808000 ccrB4
seq_601|1 #808000 ccrB4
seq_611|1 #FF8000 ccrB1
seq_615|1 #FF8000 ccrB1
seq_617|1 #FF8000 ccrB1
seq_618|1 #FF8080 ccrBn2
seq_625|1 #FF8000 ccrB1
seq_628|1 #FF8000 ccrB1
seq_629|1 #000080 ccrB3
seq_630|1 #808000 ccrB4
seq_632|1 #000080 ccrB3
seq_636|1 #FF00FF ccrBn13
seq_639|1 #FF8000 ccrB1
seq_641|1 #FF0080 ccrBn12
seq_643|1 #FF8080 ccrBn2
seq_645|1 #FF8000 ccrB1
seq_646|1 #000080 ccrB3
seq_647|1 #000080 ccrB3
seq_649|1 #000080 ccrB3
seq_651|1 #808000 ccrB4
seq_653|1 #000080 ccrB3
seq_656|1 #FF0080 ccrBn12
seq_658|1 #000000 ccrB2
seq_660|1 #808000 ccrB4
seq_661|1 #808000 ccrB4
seq_662|1 #808000 ccrB4
seq_664|1 #808000 ccrB4
seq_666|1 #808000 ccrB4
seq_675|1 #808000 ccrB4
seq_680|1 #FF8080 ccrBn2
seq_682|1 #FF8080 ccrBn2
seq_698|1 #000000 ccrB2
seq_701|1 #FF8000 ccrB1
seq_702|1 #80FF00 ccrB6
seq_706|1 #000080 ccrB3
seq_708|1 #000000 ccrB2
seq_709|1 #FF0000 ccrB3
seq_710|1 #808000 ccrB4
seq_713|1 #808000 ccrB4
seq_714|1 #808000 ccrB4
seq_716|1 #000000 ccrB2
seq_717|1 #000000 ccrB2
seq_721|1 #000000 ccrB2
seq_724|1 #000000 ccrB2
seq_725|1 #808000 ccrB4
seq_730|1 #000000 ccrB2
seq_732|1 #000000 ccrB2
seq_735|1 #000000 ccrB2
seq_739|1 #000000 ccrB2
seq_742|1 #000000 ccrB2
seq_747|1 #000000 ccrB2
seq_749|1 #000000 ccrB2
seq_750|1 #808000 ccrB4
seq_752|1 #000000 ccrB2
seq_753|1 #000000 ccrB2
seq_754|1 #000000 ccrB2
seq_756|1 #000000 ccrB2
seq_757|1 #000000 ccrB2
seq_761|1 #000000 ccrB2
seq_780|1 #000000 ccrB2
seq_781|1 #000000 ccrB2
seq_792|1 #000000 ccrB2
seq_797|1 #FF8000 ccrB1
seq_799|1 #FF8000 ccrB1
seq_800|1 #FF8000 ccrB1
seq_803|1 #FF8000 ccrB1
seq_805|1 #FF8000 ccrB1
seq_807|1 #000000 ccrB2
seq_808|1 #FF8000 ccrB1
seq_811|1 #FF8000 ccrB1
seq_812|1 #000080 ccrB3
seq_815|1 #000080 ccrB3
seq_816|1 #000000 ccrB2
seq_817|1 #000080 ccrB3
seq_819|1 #000080 ccrB3
seq_820|1 #FF0080 ccrBn12
seq_822|1 #FF8000 ccrB1
seq_823|1 #000080 ccrB3
seq_824|1 #000080 ccrB3
seq_826|1 #FF8000 ccrB1
seq_829|1 #FF8000 ccrB1
seq_831|1 #0000FF ccrB8
seq_832|1 #80FF00 ccrB6
seq_834|1 #000080 ccrB3
seq_835|1 #000080 ccrB3
seq_836|1 #FF0080 ccrBn12
seq_839|1 #000000 ccrB2
seq_840|1 #000000 ccrB2
seq_842|1 #000000 ccrB2
seq_843|1 #FF0000 ccrB3
seq_846|1 #FF0000 ccrB3
seq_847|1 #FF0000 ccrB3
seq_848|1 #FF0000 ccrB3
seq_854|1 #FF0000 ccrB3
seq_855|1 #FF0000 ccrB3
seq_862|1 #000000 ccrB2
seq_864|1 #000000 ccrB2
seq_867|1 #000000 ccrB2
seq_872|1 #000000 ccrB2
seq_873|1 #000000 ccrB2
seq_875|1 #000000 ccrB2
seq_877|1 #000000 ccrB2
seq_878|1 #000000 ccrB2
seq_879|1 #000000 ccrB2
seq_880|1 #000000 ccrB2
seq_881|1 #000000 ccrB2
seq_883|1 #000000 ccrB2
seq_885|1 #000000 ccrB2
seq_886|1 #000000 ccrB2
seq_887|1 #000000 ccrB2
seq_888|1 #000000 ccrB2
seq_890|1 #000000 ccrB2
seq_891|1 #000000 ccrB2
seq_892|1 #000000 ccrB2
seq_893|1 #000000 ccrB2
seq_894|1 #000000 ccrB2
seq_895|1 #000000 ccrB2
seq_896|1 #000000 ccrB2
seq_897|1 #808000 ccrB4
seq_898|1 #000000 ccrB2
seq_899|1 #000000 ccrB2
seq_900|1 #000000 ccrB2
seq_902|1 #808000 ccrB4
seq_903|1 #000000 ccrB2
seq_906|1 #000000 ccrB2
seq_907|1 #000000 ccrB2
seq_909|1 #808000 ccrB4
seq_910|1 #000000 ccrB2
seq_913|1 #808000 ccrB4
seq_922|1 #000000 ccrB2
seq_926|1 #FF0080 ccrBn12
seq_928|1 #000000 ccrB2
seq_929|1 #000000 ccrB2
seq_933|1 #000000 ccrB2
seq_939|1 #000000 ccrB2
seq_942|1 #000000 ccrB2
seq_944|1 #000000 ccrB2
seq_948|1 #000000 ccrB2
seq_951|1 #000000 ccrB2
seq_952|1 #000000 ccrB2
seq_953|1 #000000 ccrB2
seq_954|1 #000000 ccrB2
seq_955|1 #000000 ccrB2
seq_956|1 #000000 ccrB2
seq_957|1 #000000 ccrB2
seq_958|1 #000000 ccrB2
seq_960|1 #000000 ccrB2
seq_961|1 #000000 ccrB2
seq_962|1 #000000 ccrB2
seq_963|1 #000000 ccrB2
seq_964|1 #000000 ccrB2
seq_965|1 #000000 ccrB2
seq_966|1 #000000 ccrB2
seq_969|1 #000000 ccrB2
seq_970|1 #000000 ccrB2
seq_971|1 #000000 ccrB2
seq_973|1 #000000 ccrB2
seq_974|1 #000000 ccrB2
seq_975|1 #000000 ccrB2
seq_977|1 #000000 ccrB2
seq_978|1 #000000 ccrB2
seq_979|1 #000000 ccrB2
seq_980|1 #000000 ccrB2
seq_981|1 #000000 ccrB2
seq_982|1 #000000 ccrB2
seq_989|1 #000000 ccrB2
seq_998|1 #000000 ccrB2
seq_1000|1 #000000 ccrB2
seq_1001|1 #000000 ccrB2
seq_1002|1 #000000 ccrB2
seq_1003|1 #000000 ccrB2
seq_1006|1 #000000 ccrB2
seq_1007|1 #000000 ccrB2
seq_1008|1 #808000 ccrB4
seq_1009|1 #000000 ccrB2
seq_1012|1 #000000 ccrB2
seq_1013|1 #000000 ccrB2
seq_1015|1 #000000 ccrB2
seq_1016|1 #000000 ccrB2
seq_1017|1 #000000 ccrB2
seq_1018|1 #000000 ccrB2
seq_1029|1 #000000 ccrB2
seq_1038|1 #808000 ccrB4
seq_1041|1 #000000 ccrB2
seq_1042|1 #000000 ccrB2
seq_1043|1 #808000 ccrB4
seq_1120|1 #FF8000 ccrB1
seq_1123|1 #000080 ccrB3
seq_1127|1 #80FF00 ccrB6
seq_1129|1 #80FF00 ccrB6
seq_1132|1 #80FF00 ccrB6
seq_1134|1 #000080 ccrB3
seq_1137|1 #000080 ccrB3
seq_1139|1 #FF8000 ccrB1
seq_1140|1 #000080 ccrB3
seq_1142|1 #FF0000 ccrB3
seq_1144|1 #0000FF ccrB8
seq_1149|1 #FF0080 ccrBn12
seq_1150|1 #FF00FF ccrBn13
seq_1153|1 #FF0000 ccrB3
seq_1154|1 #FF0000 ccrB3
seq_1158|1 #FF0000 ccrB3
seq_1164|1 #FF8000 ccrB1
seq_1165|1 #FF8000 ccrB1
seq_1167|1 #000080 ccrB3
seq_1168|1 #FF8000 ccrB1
seq_1170|1 #000000 ccrB2
seq_1172|1 #000000 ccrB2
seq_1174|1 #FF8000 ccrB1
seq_1181|1 #FF8000 ccrB1
seq_1183|1 #FF8000 ccrB1
seq_1185|1 #FF0080 ccrBn12
seq_1206|1 #FF8000 ccrB1
seq_1207|1 #80FF00 ccrB6
seq_1211|1 #808080 ccrBn9
seq_1212|1 #808080 ccrBn9
seq_1214|1 #808080 ccrBn9
seq_1216|1 #808080 ccrBn9
seq_1222|1 #808080 ccrBn9
seq_1224|1 #80FF80 ccrB7
seq_1226|1 #000080 ccrB3
seq_1228|1 #80FF80 ccrB7
seq_1230|1 #000080 ccrB3
seq_1234|1 #80FF00 ccrB6
seq_1235|1 #80FF00 ccrB6
seq_1238|1 #FF8000 ccrB1
seq_1239|1 #80FF00 ccrB6
seq_1242|1 #FF8000 ccrB1
seq_1244|1 #FF00FF ccrBn13
seq_1248|1 #FF8000 ccrB1
seq_1249|1 #FF8000 ccrB1
seq_1253|1 #FF8000 ccrB1
seq_1256|1 #FF0000 ccrB3
seq_1257|1 #FF0000 ccrB3
seq_1259|1 #FF0080 ccrBn12
seq_1263|1 #000080 ccrB3
seq_1271|1 #FF8000 ccrB1
seq_1273|1 #80FF00 ccrB6
seq_1275|1 #000080 ccrB3
seq_1277|1 #80FF00 ccrB6
seq_1279|1 #000080 ccrB3
seq_1280|1 #FF0000 ccrB3
seq_1284|1 #80FFFF ccrBn7
seq_1286|1 #0000FF ccrB8
seq_1290|1 #FF0000 ccrB3
seq_1292|1 #000080 ccrB3
seq_1300|1 #FF8000 ccrB1
seq_1303|1 #FF8000 ccrB1
seq_1305|1 #0000FF ccrB8
seq_1306|1 #FF00FF ccrBn13
seq_1308|1 #000080 ccrB3
seq_1309|1 #0000FF ccrB8
seq_1312|1 #0000FF ccrB8
seq_1315|1 #000080 ccrB3
seq_1324|1 #FF8000 ccrB1
seq_1326|1 #FF00FF ccrBn13
seq_1327|1 #0000FF ccrB8
seq_1329|1 #FF0000 ccrB3
seq_1331|1 #FF8000 ccrB1
seq_1333|1 #0000FF ccrB8
seq_1335|1 #000080 ccrB3
seq_1337|1 #0000FF ccrB8
seq_1348|1 #000080 ccrB3
seq_1352|1 #000080 ccrB3
seq_1353|1 #000080 ccrB3
seq_1354|1 #80FF80 ccrB7
seq_1357|1 #80FF00 ccrB6
seq_1359|1 #FF0080 ccrBn12
seq_1364|1 #FF8000 ccrB1
seq_1366|1 #0000FF ccrB8
seq_1368|1 NA ccrBn3
seq_1373|1 #000080 ccrB3
seq_1376|1 #808080 ccrBn9
seq_1378|1 #FF8000 ccrB1
seq_1381|1 #FF00FF ccrBn13
seq_1382|1 #FF00FF ccrBn13
seq_1383|1 #FF8000 ccrB1
seq_1386|1 #000080 ccrB3
seq_1387|1 #000080 ccrB3
seq_1390|1 #000080 ccrB3
seq_1393|1 #000000 ccrB2
seq_1395|1 #808000 ccrB4
seq_1401|1 #0000FF ccrB8
seq_1404|1 #0000FF ccrB8
seq_1406|1 #80FF80 ccrB7
seq_1411|1 #000080 ccrB3
seq_1413|1 #000080 ccrB3
seq_1416|1 #FF0080 ccrBn12
seq_1417|1 #000080 ccrB3
seq_1419|1 #80FF80 ccrB7
seq_1421|1 #FF0080 ccrBn12
seq_1423|1 #000080 ccrB3
seq_1425|1 #FF0080 ccrBn12
seq_1427|1 #FF0080 ccrBn12
seq_1429|1 #000080 ccrB3
seq_1432|1 #FF0080 ccrBn12
seq_1436|1 #808000 ccrB4
seq_1438|1 #000000 ccrB2
seq_1440|1 #FF0000 ccrB3
