seq_1|7720 #61d2ff ccrB2
seq_451|7 #23db64 ccrBn3
seq_452|7 #23db64 ccrBn3
seq_453|7 #ffe194 ccrB8
seq_454|7 #ffe194 ccrB8
seq_455|7 #ffe194 ccrB8
seq_456|7 #ffe194 ccrB8
seq_457|7 #23db64 ccrBn3
seq_458|7 #23db64 ccrBn3
seq_459|7 #ffe194 ccrB8
seq_460|7 #23db64 ccrBn3
seq_461|7 #030bfc ccrB3
seq_462|7 #030bfc ccrB3
seq_463|7 #ffe194 ccrB8
seq_464|7 #468bfa ccrB1
seq_469|6 #61d2ff ccrB2
seq_472|6 #61d2ff ccrB2
seq_473|6 #61d2ff ccrB2
seq_474|6 #61d2ff ccrB2
seq_476|6 #61d2ff ccrB2
seq_477|6 #61d2ff ccrB2
seq_478|6 #61d2ff ccrB2
seq_479|6 #61d2ff ccrB2
seq_480|6 #61d2ff ccrB2
seq_481|6 #23db64 ccrBn3
seq_482|6 #61d2ff ccrB2
seq_483|6 #61d2ff ccrB2
seq_487|6 #61d2ff ccrB2
seq_488|6 #61d2ff ccrB2
seq_489|6 #61d2ff ccrB2
seq_490|6 #61d2ff ccrB2
seq_492|6 #61d2ff ccrB2
seq_495|6 #61d2ff ccrB2
seq_496|6 #61d2ff ccrB2
seq_497|6 #61d2ff ccrB2
seq_498|6 #61d2ff ccrB2
seq_499|6 #23db64 ccrBn3
seq_501|6 #23db64 ccrBn3
seq_502|6 #61d2ff ccrB2
seq_504|6 #63ff7d ccrB4
seq_505|6 #63ff7d ccrB4
seq_506|6 #63ff7d ccrB4
seq_507|6 #63ff7d ccrB4
seq_508|6 #61d2ff ccrB2
seq_509|6 #61d2ff ccrB2
seq_510|6 #61d2ff ccrB2
seq_513|6 #23db64 ccrBn3
seq_514|6 #63ff7d ccrB4
seq_516|6 #63ff7d ccrB4
seq_517|6 #63ff7d ccrB4
seq_519|6 #61d2ff ccrB2
seq_520|6 #c90000 ccrB7
seq_521|6 #63ff7d ccrB4
seq_523|6 #63ff7d ccrB4
seq_524|6 #63ff7d ccrB4
seq_525|6 #23db64 ccrBn3
seq_527|6 #23db64 ccrBn3
seq_530|6 #23db64 ccrBn3
seq_531|6 #23db64 ccrBn3
seq_544|5 #61d2ff ccrB2
seq_545|5 #61d2ff ccrB2
seq_555|5 #61d2ff ccrB2
seq_559|5 #61d2ff ccrB2
seq_560|5 #61d2ff ccrB2
seq_566|5 #61d2ff ccrB2
seq_567|5 #61d2ff ccrB2
seq_569|5 #61d2ff ccrB2
seq_570|5 #61d2ff ccrB2
seq_573|5 #030bfc ccrB3
seq_577|5 #030bfc ccrB3
seq_578|5 #61d2ff ccrB2
seq_579|5 #23db64 ccrBn3
seq_584|5 #468bfa ccrB1
seq_585|5 #468bfa ccrB1
seq_591|5 #c90000 ccrB7
seq_592|5 #c90000 ccrB7
seq_594|5 #468bfa ccrB1
seq_595|5 #c90000 ccrB7
seq_597|5 #c90000 ccrB7
seq_599|5 #030bfc ccrB3
seq_602|4 #ff9999 ccrBn11
seq_618|4 #61d2ff ccrB2
seq_620|4 #61d2ff ccrB2
seq_625|4 #61d2ff ccrB2
seq_628|4 #61d2ff ccrB2
seq_633|4 #f03232 ccrB6
seq_640|4 #61d2ff ccrB2
seq_642|4 #61d2ff ccrB2
seq_643|4 #61d2ff ccrB2
seq_644|4 #61d2ff ccrB2
seq_645|4 #61d2ff ccrB2
seq_646|4 #61d2ff ccrB2
seq_648|4 #61d2ff ccrB2
seq_652|4 #63ff7d ccrB4
seq_653|4 #61d2ff ccrB2
seq_654|4 #61d2ff ccrB2
seq_656|4 #63ff7d ccrB4
seq_657|4 #61d2ff ccrB2
seq_661|4 #63ff7d ccrB4
seq_664|4 #23db64 ccrBn3
seq_671|4 #ff9999 ccrBn11
seq_672|4 #63ff7d ccrB4
seq_673|4 #63ff7d ccrB4
seq_674|4 #63ff7d ccrB4
seq_675|4 #ff9999 ccrBn11
seq_678|4 #63ff7d ccrB4
seq_679|4 #63ff7d ccrB4
seq_681|4 #63ff7d ccrB4
seq_712|3 #61d2ff ccrB2
seq_714|3 #61d2ff ccrB2
seq_721|3 #61d2ff ccrB2
seq_722|3 #61d2ff ccrB2
seq_723|3 #61d2ff ccrB2
seq_724|3 #61d2ff ccrB2
seq_725|3 #61d2ff ccrB2
seq_727|3 #61d2ff ccrB2
seq_728|3 #61d2ff ccrB2
seq_729|3 #61d2ff ccrB2
seq_732|3 #61d2ff ccrB2
seq_733|3 #61d2ff ccrB2
seq_734|3 #61d2ff ccrB2
seq_735|3 #61d2ff ccrB2
seq_736|3 #61d2ff ccrB2
seq_737|3 #61d2ff ccrB2
seq_738|3 #61d2ff ccrB2
seq_739|3 #61d2ff ccrB2
seq_740|3 #61d2ff ccrB2
seq_742|3 #61d2ff ccrB2
seq_743|3 #61d2ff ccrB2
seq_744|3 #61d2ff ccrB2
seq_746|3 #61d2ff ccrB2
seq_748|3 #61d2ff ccrB2
seq_749|3 #61d2ff ccrB2
seq_750|3 #61d2ff ccrB2
seq_751|3 #61d2ff ccrB2
seq_752|3 #61d2ff ccrB2
seq_755|3 #61d2ff ccrB2
seq_756|3 #61d2ff ccrB2
seq_758|3 #61d2ff ccrB2
seq_760|3 #61d2ff ccrB2
seq_761|3 #61d2ff ccrB2
seq_763|3 #61d2ff ccrB2
seq_764|3 #61d2ff ccrB2
seq_765|3 #61d2ff ccrB2
seq_767|3 #61d2ff ccrB2
seq_768|3 #61d2ff ccrB2
seq_769|3 #61d2ff ccrB2
seq_770|3 #61d2ff ccrB2
seq_771|3 #61d2ff ccrB2
seq_772|3 #61d2ff ccrB2
seq_773|3 #61d2ff ccrB2
seq_774|3 #61d2ff ccrB2
seq_776|3 #61d2ff ccrB2
seq_777|3 #61d2ff ccrB2
seq_778|3 #61d2ff ccrB2
seq_779|3 #61d2ff ccrB2
seq_780|3 #61d2ff ccrB2
seq_781|3 #61d2ff ccrB2
seq_784|3 #61d2ff ccrB2
seq_785|3 #61d2ff ccrB2
seq_786|3 #61d2ff ccrB2
seq_787|3 #61d2ff ccrB2
seq_789|3 #61d2ff ccrB2
seq_791|3 #61d2ff ccrB2
seq_793|3 #61d2ff ccrB2
seq_794|3 #61d2ff ccrB2
seq_795|3 #61d2ff ccrB2
seq_797|3 #61d2ff ccrB2
seq_799|3 #61d2ff ccrB2
seq_800|3 #61d2ff ccrB2
seq_802|3 #61d2ff ccrB2
seq_803|3 #61d2ff ccrB2
seq_804|3 #61d2ff ccrB2
seq_805|3 #61d2ff ccrB2
seq_806|3 #61d2ff ccrB2
seq_808|3 #61d2ff ccrB2
seq_809|3 #61d2ff ccrB2
seq_810|3 #61d2ff ccrB2
seq_811|3 #61d2ff ccrB2
seq_812|3 #61d2ff ccrB2
seq_813|3 #61d2ff ccrB2
seq_814|3 #61d2ff ccrB2
seq_816|3 #61d2ff ccrB2
seq_817|3 #61d2ff ccrB2
seq_818|3 #61d2ff ccrB2
seq_819|3 #61d2ff ccrB2
seq_820|3 #61d2ff ccrB2
seq_821|3 #61d2ff ccrB2
seq_822|3 #61d2ff ccrB2
seq_823|3 #61d2ff ccrB2
seq_824|3 #61d2ff ccrB2
seq_825|3 #61d2ff ccrB2
seq_826|3 #61d2ff ccrB2
seq_827|3 #61d2ff ccrB2
seq_828|3 #61d2ff ccrB2
seq_829|3 #61d2ff ccrB2
seq_831|3 #61d2ff ccrB2
seq_833|3 #61d2ff ccrB2
seq_834|3 #61d2ff ccrB2
seq_835|3 #61d2ff ccrB2
seq_836|3 #61d2ff ccrB2
seq_838|3 #61d2ff ccrB2
seq_840|3 #61d2ff ccrB2
seq_844|3 #61d2ff ccrB2
seq_845|3 #61d2ff ccrB2
seq_846|3 #61d2ff ccrB2
seq_847|3 #61d2ff ccrB2
seq_850|3 #61d2ff ccrB2
seq_852|3 #61d2ff ccrB2
seq_857|3 #61d2ff ccrB2
seq_858|3 #61d2ff ccrB2
seq_859|3 #61d2ff ccrB2
seq_861|3 #23db64 ccrBn3
seq_880|3 #61d2ff ccrB2
seq_885|3 #ffcc47 ccrBn12
seq_907|2 #61d2ff ccrB2
seq_908|2 #63ff7d ccrB4
seq_914|2 #63ff7d ccrB4
seq_915|2 #61d2ff ccrB2
seq_917|2 #61d2ff ccrB2
seq_918|2 #61d2ff ccrB2
seq_920|2 #63ff7d ccrB4
seq_921|2 #61d2ff ccrB2
seq_924|2 #63ff7d ccrB4
seq_925|2 #61d2ff ccrB2
seq_926|2 #61d2ff ccrB2
seq_935|2 #61d2ff ccrB2
seq_939|2 #63ff7d ccrB4
seq_943|2 #63ff7d ccrB4
seq_948|2 #61d2ff ccrB2
seq_952|2 #63ff7d ccrB4
seq_955|2 #63ff7d ccrB4
seq_960|2 #63ff7d ccrB4
seq_967|2 #63ff7d ccrB4
seq_970|2 #61d2ff ccrB2
seq_971|2 #63ff7d ccrB4
seq_972|2 #63ff7d ccrB4
seq_974|2 #61d2ff ccrB2
seq_975|2 #63ff7d ccrB4
seq_978|2 #63ff7d ccrB4
seq_979|2 #63ff7d ccrB4
seq_983|2 #61d2ff ccrB2
seq_985|2 #63ff7d ccrB4
seq_989|2 #61d2ff ccrB2
seq_999|2 #63ff7d ccrB4
seq_1000|2 #63ff7d ccrB4
seq_1001|2 #63ff7d ccrB4
seq_1003|2 #63ff7d ccrB4
seq_1004|2 #63ff7d ccrB4
seq_1005|2 #63ff7d ccrB4
seq_1006|2 #63ff7d ccrB4
seq_1008|2 #63ff7d ccrB4
seq_1009|2 #63ff7d ccrB4
seq_1011|2 #63ff7d ccrB4
seq_1012|2 #63ff7d ccrB4
seq_1013|2 #63ff7d ccrB4
seq_1014|2 #63ff7d ccrB4
seq_1015|2 #63ff7d ccrB4
seq_1017|2 #63ff7d ccrB4
seq_1018|2 #63ff7d ccrB4
seq_1024|2 #63ff7d ccrB4
seq_1025|2 #63ff7d ccrB4
seq_1026|2 #63ff7d ccrB4
seq_1028|2 #63ff7d ccrB4
seq_1029|2 #63ff7d ccrB4
seq_1031|2 #63ff7d ccrB4
seq_1034|2 #63ff7d ccrB4
seq_1036|2 #63ff7d ccrB4
seq_1038|2 #63ff7d ccrB4
seq_1041|2 #63ff7d ccrB4
seq_1042|2 #63ff7d ccrB4
seq_1043|2 #63ff7d ccrB4
seq_1044|2 #63ff7d ccrB4
seq_1045|2 #63ff7d ccrB4
seq_1048|2 #63ff7d ccrB4
seq_1059|2 #e8a800 ccrBn2
seq_1062|2 #61d2ff ccrB2
seq_1063|2 #63ff7d ccrB4
seq_1077|2 #63ff7d ccrB4
seq_1098|1 #61d2ff ccrB2
seq_1099|1 #61d2ff ccrB2
seq_1100|1 #61d2ff ccrB2
seq_1101|1 #61d2ff ccrB2
seq_1102|1 #61d2ff ccrB2
seq_1103|1 #61d2ff ccrB2
seq_1104|1 #61d2ff ccrB2
seq_1105|1 #61d2ff ccrB2
seq_1106|1 #61d2ff ccrB2
seq_1107|1 #61d2ff ccrB2
seq_1108|1 #61d2ff ccrB2
seq_1109|1 #030bfc ccrB3
seq_1110|1 #23db64 ccrBn3
seq_1111|1 #63ff7d ccrB4
seq_1112|1 #63ff7d ccrB4
seq_1113|1 #468bfa ccrB1
seq_1114|1 #ffe194 ccrB8
seq_1525|1 NA ccrBn1
