seq_15|466 #61d2ff ccrC1
seq_882|3 #61d2ff ccrC1
seq_891|3 #61d2ff ccrC1
seq_897|3 #61d2ff ccrC1
seq_900|3 #61d2ff ccrC1
seq_906|2 #468bfa ccrC2
seq_909|2 #61d2ff ccrC1
seq_910|2 #61d2ff ccrC1
seq_911|2 #61d2ff ccrC1
seq_919|2 #61d2ff ccrC1
seq_927|2 #61d2ff ccrC1
seq_928|2 #61d2ff ccrC1
seq_929|2 #61d2ff ccrC1
seq_930|2 #61d2ff ccrC1
seq_931|2 #61d2ff ccrC1
seq_932|2 #61d2ff ccrC1
seq_937|2 #61d2ff ccrC1
seq_938|2 #61d2ff ccrC1
seq_941|2 #61d2ff ccrC1
seq_942|2 #61d2ff ccrC1
seq_944|2 #61d2ff ccrC1
seq_945|2 #61d2ff ccrC1
seq_946|2 #61d2ff ccrC1
seq_947|2 #61d2ff ccrC1
seq_949|2 #61d2ff ccrC1
seq_953|2 #61d2ff ccrC1
seq_956|2 #61d2ff ccrC1
seq_957|2 #61d2ff ccrC1
seq_958|2 #61d2ff ccrC1
seq_959|2 #61d2ff ccrC1
seq_963|2 #61d2ff ccrC1
seq_965|2 #61d2ff ccrC1
seq_966|2 #61d2ff ccrC1
seq_973|2 #468bfa ccrC2
seq_976|2 #61d2ff ccrC1
seq_977|2 #61d2ff ccrC1
seq_986|2 #61d2ff ccrC1
seq_987|2 #61d2ff ccrC1
seq_994|2 #61d2ff ccrC1
seq_998|2 #61d2ff ccrC1
seq_1007|2 #61d2ff ccrC1
seq_1010|2 #61d2ff ccrC1
seq_1019|2 #61d2ff ccrC1
seq_1023|2 #61d2ff ccrC1
seq_1027|2 #468bfa ccrC2
seq_1032|2 #468bfa ccrC2
seq_1033|2 #468bfa ccrC2
seq_1046|2 #468bfa ccrC2
seq_1049|2 #61d2ff ccrC1
seq_1052|2 #61d2ff ccrC1
seq_1053|2 #61d2ff ccrC1
seq_1064|2 #61d2ff ccrC1
seq_1075|2 #61d2ff ccrC1
seq_1076|2 #61d2ff ccrC1
seq_1078|2 #61d2ff ccrC1
seq_1079|2 #61d2ff ccrC1
seq_1080|2 #61d2ff ccrC1
seq_1081|2 #61d2ff ccrC1
seq_1089|2 #61d2ff ccrC1
seq_1090|2 #61d2ff ccrC1
seq_1115|1 #61d2ff ccrC1
seq_1116|1 #61d2ff ccrC1
seq_1120|1 #61d2ff ccrC1
seq_1121|1 #61d2ff ccrC1
seq_1122|1 #61d2ff ccrC1
seq_1123|1 #61d2ff ccrC1
seq_1124|1 #61d2ff ccrC1
seq_1126|1 #61d2ff ccrC1
seq_1128|1 #61d2ff ccrC1
seq_1129|1 #61d2ff ccrC1
seq_1135|1 #61d2ff ccrC1
seq_1137|1 #61d2ff ccrC1
seq_1138|1 #61d2ff ccrC1
seq_1139|1 #61d2ff ccrC1
seq_1142|1 #61d2ff ccrC1
seq_1150|1 #61d2ff ccrC1
seq_1151|1 #61d2ff ccrC1
seq_1156|1 #61d2ff ccrC1
seq_1157|1 #61d2ff ccrC1
seq_1158|1 #61d2ff ccrC1
seq_1159|1 #61d2ff ccrC1
seq_1161|1 #61d2ff ccrC1
seq_1162|1 #61d2ff ccrC1
seq_1163|1 #61d2ff ccrC1
seq_1164|1 #61d2ff ccrC1
seq_1165|1 #61d2ff ccrC1
seq_1166|1 #61d2ff ccrC1
seq_1167|1 #61d2ff ccrC1
seq_1169|1 #61d2ff ccrC1
seq_1171|1 #61d2ff ccrC1
seq_1172|1 #61d2ff ccrC1
seq_1175|1 #61d2ff ccrC1
seq_1177|1 #61d2ff ccrC1
seq_1179|1 #61d2ff ccrC1
seq_1181|1 #61d2ff ccrC1
seq_1185|1 #61d2ff ccrC1
seq_1186|1 #61d2ff ccrC1
seq_1188|1 #61d2ff ccrC1
seq_1189|1 #61d2ff ccrC1
seq_1190|1 #61d2ff ccrC1
seq_1191|1 #61d2ff ccrC1
seq_1196|1 #61d2ff ccrC1
seq_1197|1 #61d2ff ccrC1
seq_1198|1 #468bfa ccrC2
seq_1199|1 #468bfa ccrC2
seq_1200|1 #468bfa ccrC2
seq_1201|1 #61d2ff ccrC1
seq_1204|1 #61d2ff ccrC1
seq_1205|1 #61d2ff ccrC1
seq_1206|1 #61d2ff ccrC1
seq_1207|1 #61d2ff ccrC1
seq_1208|1 #61d2ff ccrC1
seq_1209|1 #468bfa ccrC2
seq_1212|1 #468bfa ccrC2
seq_1213|1 #61d2ff ccrC1
seq_1214|1 #61d2ff ccrC1
seq_1215|1 #61d2ff ccrC1
seq_1216|1 #61d2ff ccrC1
seq_1217|1 #61d2ff ccrC1
seq_1218|1 #61d2ff ccrC1
seq_1219|1 #61d2ff ccrC1
seq_1222|1 #468bfa ccrC2
seq_1223|1 #61d2ff ccrC1
seq_1224|1 #61d2ff ccrC1
seq_1225|1 #61d2ff ccrC1
seq_1226|1 #61d2ff ccrC1
seq_1227|1 #61d2ff ccrC1
seq_1228|1 #61d2ff ccrC1
seq_1229|1 #61d2ff ccrC1
seq_1230|1 #61d2ff ccrC1
seq_1231|1 #61d2ff ccrC1
seq_1232|1 #61d2ff ccrC1
seq_1234|1 #61d2ff ccrC1
seq_1238|1 #61d2ff ccrC1
seq_1240|1 #61d2ff ccrC1
seq_1241|1 #61d2ff ccrC1
seq_1242|1 #61d2ff ccrC1
seq_1243|1 #61d2ff ccrC1
seq_1244|1 #61d2ff ccrC1
seq_1247|1 #61d2ff ccrC1
seq_1248|1 #61d2ff ccrC1
seq_1249|1 #61d2ff ccrC1
seq_1250|1 #61d2ff ccrC1
seq_1253|1 #61d2ff ccrC1
seq_1257|1 #61d2ff ccrC1
seq_1260|1 #61d2ff ccrC1
seq_1262|1 #61d2ff ccrC1
seq_1263|1 #61d2ff ccrC1
seq_1266|1 #61d2ff ccrC1
seq_1274|1 #61d2ff ccrC1
seq_1279|1 #61d2ff ccrC1
seq_1280|1 #61d2ff ccrC1
seq_1283|1 #61d2ff ccrC1
seq_1284|1 #61d2ff ccrC1
seq_1285|1 #61d2ff ccrC1
seq_1288|1 #61d2ff ccrC1
seq_1289|1 #61d2ff ccrC1
seq_1290|1 #61d2ff ccrC1
seq_1291|1 #61d2ff ccrC1
seq_1293|1 #61d2ff ccrC1
seq_1294|1 #61d2ff ccrC1
seq_1295|1 #61d2ff ccrC1
seq_1296|1 #61d2ff ccrC1
seq_1298|1 #61d2ff ccrC1
seq_1300|1 #61d2ff ccrC1
seq_1302|1 #61d2ff ccrC1
seq_1304|1 #61d2ff ccrC1
seq_1305|1 #61d2ff ccrC1
seq_1306|1 #61d2ff ccrC1
seq_1307|1 #61d2ff ccrC1
seq_1308|1 #61d2ff ccrC1
seq_1309|1 #61d2ff ccrC1
seq_1310|1 #61d2ff ccrC1
seq_1311|1 #61d2ff ccrC1
seq_1313|1 #61d2ff ccrC1
seq_1314|1 #61d2ff ccrC1
seq_1315|1 #61d2ff ccrC1
seq_1317|1 #61d2ff ccrC1
seq_1319|1 #61d2ff ccrC1
seq_1321|1 #61d2ff ccrC1
seq_1322|1 #61d2ff ccrC1
seq_1323|1 #61d2ff ccrC1
seq_1324|1 #61d2ff ccrC1
seq_1328|1 #61d2ff ccrC1
seq_1335|1 #468bfa ccrC2
seq_1337|1 #61d2ff ccrC1
seq_1340|1 #61d2ff ccrC1
seq_1341|1 #468bfa ccrC2
seq_1342|1 #61d2ff ccrC1
seq_1343|1 #61d2ff ccrC1
seq_1344|1 #61d2ff ccrC1
seq_1345|1 #61d2ff ccrC1
seq_1346|1 #61d2ff ccrC1
seq_1347|1 #61d2ff ccrC1
seq_1348|1 #61d2ff ccrC1
seq_1349|1 #61d2ff ccrC1
seq_1356|1 #61d2ff ccrC1
seq_1357|1 #61d2ff ccrC1
seq_1358|1 #61d2ff ccrC1
seq_1360|1 #468bfa ccrC2
seq_1361|1 #61d2ff ccrC1
seq_1362|1 #61d2ff ccrC1
seq_1364|1 #61d2ff ccrC1
seq_1368|1 #61d2ff ccrC1
seq_1369|1 #61d2ff ccrC1
seq_1371|1 #61d2ff ccrC1
seq_1374|1 #468bfa ccrC2
seq_1379|1 #61d2ff ccrC1
seq_1382|1 #61d2ff ccrC1
seq_1384|1 #61d2ff ccrC1
seq_1385|1 #61d2ff ccrC1
seq_1386|1 #61d2ff ccrC1
seq_1387|1 #61d2ff ccrC1
seq_1388|1 #030bfc ccrCn2
seq_1390|1 #61d2ff ccrC1
seq_1391|1 #61d2ff ccrC1
seq_1393|1 #61d2ff ccrC1
seq_1394|1 #61d2ff ccrC1
seq_1395|1 #61d2ff ccrC1
seq_1396|1 #61d2ff ccrC1
seq_1398|1 #61d2ff ccrC1
seq_1400|1 #61d2ff ccrC1
seq_1401|1 #61d2ff ccrC1
seq_1402|1 #61d2ff ccrC1
seq_1403|1 #61d2ff ccrC1
seq_1404|1 #61d2ff ccrC1
seq_1405|1 #61d2ff ccrC1
seq_1407|1 #61d2ff ccrC1
seq_1408|1 #61d2ff ccrC1
seq_1409|1 #61d2ff ccrC1
seq_1410|1 #61d2ff ccrC1
seq_1412|1 #61d2ff ccrC1
seq_1413|1 #61d2ff ccrC1
seq_1414|1 #61d2ff ccrC1
seq_1416|1 #61d2ff ccrC1
seq_1417|1 #61d2ff ccrC1
seq_1418|1 #61d2ff ccrC1
seq_1419|1 #61d2ff ccrC1
seq_1420|1 #61d2ff ccrC1
seq_1421|1 #61d2ff ccrC1
seq_1422|1 #61d2ff ccrC1
seq_1423|1 #61d2ff ccrC1
seq_1425|1 #61d2ff ccrC1
seq_1426|1 #61d2ff ccrC1
seq_1427|1 #61d2ff ccrC1
seq_1428|1 #61d2ff ccrC1
seq_1429|1 #61d2ff ccrC1
seq_1430|1 #61d2ff ccrC1
seq_1432|1 #61d2ff ccrC1
seq_1434|1 #61d2ff ccrC1
seq_1436|1 #468bfa ccrC2
seq_1437|1 #61d2ff ccrC1
seq_1438|1 #61d2ff ccrC1
seq_1440|1 #468bfa ccrC2
seq_1443|1 #61d2ff ccrC1
seq_1444|1 #61d2ff ccrC1
seq_1446|1 #61d2ff ccrC1
seq_1447|1 #61d2ff ccrC1
seq_1448|1 #61d2ff ccrC1
seq_1449|1 #61d2ff ccrC1
seq_1452|1 #61d2ff ccrC1
seq_1453|1 #61d2ff ccrC1
seq_1454|1 #61d2ff ccrC1
seq_1455|1 #61d2ff ccrC1
seq_1459|1 #61d2ff ccrC1
seq_1460|1 #61d2ff ccrC1
seq_1461|1 #61d2ff ccrC1
seq_1462|1 #61d2ff ccrC1
seq_1463|1 #61d2ff ccrC1
seq_1465|1 #61d2ff ccrC1
seq_1466|1 #61d2ff ccrC1
seq_1467|1 #61d2ff ccrC1
seq_1469|1 #61d2ff ccrC1
seq_1470|1 #61d2ff ccrC1
seq_1471|1 #61d2ff ccrC1
seq_1472|1 #61d2ff ccrC1
seq_1473|1 #61d2ff ccrC1
seq_1474|1 #61d2ff ccrC1
seq_1475|1 #61d2ff ccrC1
seq_1476|1 #61d2ff ccrC1
seq_1477|1 #61d2ff ccrC1
seq_1478|1 #61d2ff ccrC1
seq_1479|1 #61d2ff ccrC1
seq_1480|1 #61d2ff ccrC1
seq_1481|1 #61d2ff ccrC1
seq_1482|1 #61d2ff ccrC1
seq_1483|1 #61d2ff ccrC1
seq_1484|1 #61d2ff ccrC1
seq_1485|1 #61d2ff ccrC1
seq_1486|1 #61d2ff ccrC1
seq_1487|1 #61d2ff ccrC1
seq_1488|1 #61d2ff ccrC1
seq_1489|1 #61d2ff ccrC1
seq_1490|1 #61d2ff ccrC1
seq_1491|1 #030bfc ccrCn2
seq_1492|1 #030bfc ccrCn2
seq_1493|1 #61d2ff ccrC1
seq_1494|1 #030bfc ccrCn2
seq_1496|1 #030bfc ccrCn2
seq_1499|1 #61d2ff ccrC1
seq_1500|1 #61d2ff ccrC1
seq_1501|1 #61d2ff ccrC1
seq_1502|1 #61d2ff ccrC1
seq_1504|1 #61d2ff ccrC1
seq_1505|1 #61d2ff ccrC1
seq_1509|1 #61d2ff ccrC1
seq_1510|1 #61d2ff ccrC1
seq_1512|1 #61d2ff ccrC1
seq_1515|1 #61d2ff ccrC1
seq_1516|1 #61d2ff ccrC1
seq_1517|1 #61d2ff ccrC1
seq_1518|1 #61d2ff ccrC1
seq_1519|1 #61d2ff ccrC1
seq_1520|1 #030bfc ccrCn2
seq_1521|1 #61d2ff ccrC1
seq_1522|1 #61d2ff ccrC1
seq_1523|1 #61d2ff ccrC1
seq_1524|1 #61d2ff ccrC1
seq_1526|1 #61d2ff ccrC1
seq_1527|1 #61d2ff ccrC1
seq_1528|1 #61d2ff ccrC1
seq_1529|1 #030bfc ccrCn2
seq_1530|1 #61d2ff ccrC1
seq_1531|1 #61d2ff ccrC1
