"IS431s_start" "IS431s_len" "IS431s_end" "IS431s_dir" "IS1272s_start" "IS1272s_len" "IS1272s_end" "IS1272s_dir" "mecI_start" "mecI_len" "mecI_end" "mecI_dir" "mecR_start" "mecR_len" "mecR_end" "mecR_dir" "mecA_start" "mecA_len" "mecA_end" "mecA_dir" "IS431e_start" "IS431e_len" "IS431e_end" "IS431e_dir" "IS431_10bp" "assembly" "GCF_ID" "contig" "species" "contig_length" "assembly_strand" "mecA_to_end_length" "end_length" "mecR_to_end_length" "mecR_end_length" "mecR_len_simple" "mecI_present" "IS1272_present" "IS431s_present" "mecR_type" "ISs_status" "mec_class" "mec_class_inferred"
"13" "132628" "675" "133302" "<" "-" "-" "-" "-" "-" "-" "-" "-" "132480" "92" "132571" "<" "130374" "2010" "132383" ">" "127084" "675" "127758" ">" "1" "GCF_004166355.1_ASM41663" "GCF_004166355.1" "NZ_QHIC01000002.1" "Staphylococcus_pseudintermedius" 296844 "minus" 164461 5000 164273 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"14" "139" "675" "813" "<" "-" "-" "-" "-" "-" "-" "-" "-" "870" "92" "961" "<" "1058" "2010" "3067" ">" "5683" "675" "6357" ">" "1" "GCF_004166785.1_ASM41667" "GCF_004166785.1" "NZ_QHIY01000040.1" "Staphylococcus_pseudintermedius" 24920 "plus" 1058 1058 870 870 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"15" "132628" "675" "133302" "<" "-" "-" "-" "-" "-" "-" "-" "-" "132480" "92" "132571" "<" "130374" "2010" "132383" ">" "127084" "675" "127758" ">" "1" "GCF_004166775.1_ASM41667" "GCF_004166775.1" "NZ_QHIX01000002.1" "Staphylococcus_pseudintermedius" 296884 "minus" 164501 5000 164313 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"16" "15976" "675" "16650" "<" "-" "-" "-" "-" "-" "-" "-" "-" "15828" "92" "15919" "<" "13722" "2010" "15731" ">" "10472" "675" "11146" ">" "1" "GCF_004166765.1_ASM41667" "GCF_004166765.1" "NZ_QHIW01000005.1" "Staphylococcus_pseudintermedius" 198533 "minus" 182802 5000 182614 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"17" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4009" "92" "4100" "<" "1903" "2010" "3912" ">" "-" "-" "-" "-" "0" "GCF_003383745.1_ASM33837" "GCF_003383745.1" "NZ_QQPG01000102.1" "Staphylococcus_pseudintermedius" 4115 "minus" 203 203 15 15 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"18" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "61" "92" "152" "<" "249" "2010" "2258" ">" "-" "-" "-" "-" "0" "GCF_003383995.1_ASM33839" "GCF_003383995.1" "NZ_QQTV01000113.1" "Staphylococcus_pseudintermedius" 4080 "plus" 249 249 61 61 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"19" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "248" "2010" "2257" ">" "-" "-" "-" "-" "0" "GCF_003383975.1_ASM33839" "GCF_003383975.1" "NZ_QQPH01000166.1" "Staphylococcus_pseudintermedius" NA "plus" 248 248 NA NA "-" 0 0 0 "-" "Absent" "NT" "NT"
"20" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "3910" "92" "4001" "<" "1804" "2010" "3813" ">" "-" "-" "-" "-" "1" "GCF_003383925.1_ASM33839" "GCF_003383925.1" "NZ_QQPJ01000044.1" "Staphylococcus_pseudintermedius" 4096 "minus" 283 283 95 95 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"21" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4682" "92" "4773" "<" "2576" "2010" "4585" ">" "-" "-" "-" "-" "0" "GCF_003185365.1_ASM31853" "GCF_003185365.1" "NZ_QEJK01000108.1" "Staphylococcus_pseudintermedius" 4789 "minus" 204 204 16 16 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"22" "125967" "675" "126641" "<" "-" "-" "-" "-" "-" "-" "-" "-" "125819" "92" "125910" "<" "123713" "2010" "125722" ">" "120383" "675" "121057" ">" "1" "GCF_002976305.1_ASM29763" "GCF_002976305.1" "NZ_PRDQ01000001.1" "Staphylococcus_pseudintermedius" 323365 "minus" 197643 5000 197455 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"23" "2398" "675" "3072" "<" "-" "-" "-" "-" "-" "-" "-" "-" "2250" "92" "2341" "<" "144" "2010" "2153" ">" "-" "-" "-" "-" "1" "GCF_002976235.1_ASM29762" "GCF_002976235.1" "NZ_PRDP01000003.1" "Staphylococcus_pseudintermedius" 41785 "minus" 39632 5000 39444 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"24" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "52" "92" "143" "<" "240" "2010" "2249" ">" "-" "-" "-" "-" "0" "GCF_002768275.1_ASM27682" "GCF_002768275.1" "NZ_PEPX01000018.1" "Staphylococcus_pseudintermedius" 4069 "plus" 240 240 52 52 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"25" "2652520" "675" "2653194" "<" "-" "-" "-" "-" "-" "-" "-" "-" "2652372" "92" "2652463" "<" "2650266" "2010" "2652275" ">" "<2647440" "170" "2647609" ">" "1" "GCF_001685665.2_ASM16856" "GCF_001685665.2" "NZ_CP015626.1" "Staphylococcus_pseudintermedius" 2766566 "minus" 114291 5000 114103 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"26" "38530" "675" "39204" "<" "-" "-" "-" "-" "-" "-" "-" "-" "39261" "92" "39352" "<" "39449" "2010" "41458" ">" "-" "-" "-" "-" "1" "GCF_002366435.1_ASM23664" "GCF_002366435.1" "NZ_MQNF01000020.1" "Staphylococcus_pseudintermedius" 41633 "plus" 39449 5000 39261 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"27" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "3715" "92" "3806" "<" "1609" "2010" "3618" ">" "-" "-" "-" "-" "0" "GCF_000542395.1_Stap_lugd_UCIM6116" "GCF_000542395.1" "NZ_KI978397.1" "Staphylococcus_lugdunensis" 3840 "minus" 222 222 34 34 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"28" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "78" "92" "169" "<" "266" "2010" "2275" ">" "-" "-" "-" "-" "1" "GCF_007680405.1_ASM76804" "GCF_007680405.1" "NZ_VEID01000052.1" "Staphylococcus_haemolyticus" 4950 "plus" 266 266 78 78 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"29" "100329" "675" "101003" "<" "-" "-" "-" "-" "-" "-" "-" "-" "100181" "92" "100272" "<" "98075" "2010" "100084" ">" "94745" "675" "95419" ">" "1" "GCF_000009865.1_ASM98" "GCF_000009865.1" "NC_007168.1" "Staphylococcus_haemolyticus" 2685015 "minus" 2584931 5000 2584743 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"30" "4793" "675" "5467" "<" "-" "-" "-" "-" "-" "-" "-" "-" "4645" "92" "4736" "<" "2539" "2010" "4548" ">" "-" "-" "-" "-" "1" "GCF_003596385.1_ASM35963" "GCF_003596385.1" "NZ_QYYK01000043.1" "Staphylococcus_haemolyticus" 12567 "minus" 8019 5000 7831 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"31" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "78" "92" "169" "<" "266" "2010" "2275" ">" "-" "-" "-" "-" "1" "GCF_007680355.1_ASM76803" "GCF_007680355.1" "NZ_VEIB01000059.1" "Staphylococcus_haemolyticus" 4991 "plus" 266 266 78 78 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"32" "1308840" "675" "1309514" "<" "-" "-" "-" "-" "-" "-" "-" "-" "1308692" "92" "1308783" "<" "1306586" "2010" "1308595" ">" "1303296" "675" "1303970" ">" "1" "GCF_003956005.1_ASM39560" "GCF_003956005.1" "NZ_CP033814.1" "Staphylococcus_haemolyticus" 2634118 "minus" 1325523 5000 1325335 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"33" "27762" "675" "28436" "<" "-" "-" "-" "-" "-" "-" "-" "-" "28493" "92" "28584" "<" "28681" "2010" "30690" ">" "-" "-" "-" "-" "1" "GCF_007680135.1_ASM76801" "GCF_007680135.1" "NZ_VEGW01000011.1" "Staphylococcus_haemolyticus" 33366 "plus" 28681 5000 28493 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"34" "72959" "675" "73633" "<" "-" "-" "-" "-" "-" "-" "-" "-" "72811" "92" "72902" "<" "70705" "2010" "72714" ">" "67375" "675" "68049" ">" "1" "GCF_005706435.1_ASM57064" "GCF_005706435.1" "NZ_CP035541.1" "Staphylococcus_haemolyticus" 2615683 "minus" 2542969 5000 2542781 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"35" "4083" "675" "4757" "<" "-" "-" "-" "-" "-" "-" "-" "-" "3935" "92" "4026" "<" "1829" "2010" "3838" ">" "-" "-" "-" "-" "1" "GCF_007680045.1_ASM76800" "GCF_007680045.1" "NZ_VEHQ01000035.1" "Staphylococcus_haemolyticus" 14949 "minus" 11111 5000 10923 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"36" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "2667" "2010" "4676" ">" "<1" "251" "251" ">" "1" "GCF_005146265.2_ASM51462" "GCF_005146265.2" "NZ_SWMR02000181.1" "Staphylococcus_haemolyticus" 4883 "minus" 207 207 NA NA "-" 0 0 1 "-" "Present" "mecA_only" "NT"
"37" "-" "-" "-" "-" "-" "-" "-" "-" "6625" "372" "6996" "<" "4868" "1758" "6625" "<" "2762" "2010" "4771" ">" "-" "-" "-" "-" "0" "GCF_007667035.1_ASM76670" "GCF_007667035.1" "NZ_VDQH01000059.1" "Staphylococcus_haemolyticus" 7247 "minus" 2476 2476 622 622 "type2" 1 0 0 "type2" "Absent" "A" "NT"
"38" "10195" "675" "10869" "<" "-" "-" "-" "-" "-" "-" "-" "-" "10926" "92" "11017" "<" "11114" "2010" "13123" ">" "-" "-" "-" "-" "1" "GCF_007680015.1_ASM76800" "GCF_007680015.1" "NZ_VEHO01000041.1" "Staphylococcus_haemolyticus" 15545 "plus" 11114 5000 10926 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"39" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4783" "92" "4874" "<" "2677" "2010" "4686" ">" "-" "-" "-" "-" "1" "GCF_007679585.1_ASM76795" "GCF_007679585.1" "NZ_VEGS01000056.1" "Staphylococcus_haemolyticus" 4951 "minus" 265 265 77 77 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"40" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "78" "92" "169" "<" "266" "2010" "2275" ">" "-" "-" "-" "-" "1" "GCF_005048975.1_ASM50489" "GCF_005048975.1" "NZ_SUKZ01000021.1" "Staphylococcus_haemolyticus" 4991 "plus" 266 266 78 78 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"41" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4909" "92" "5000" "<" "2803" "2010" "4812" ">" "-" "-" "-" "-" "0" "GCF_007667015.1_ASM76670" "GCF_007667015.1" "NZ_VDQG01000054.1" "Staphylococcus_haemolyticus" 5063 "minus" 251 251 63 63 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"42" "<38" "141" "178" "<" "-" "-" "-" "-" "-" "-" "-" "-" "235" "92" "326" "<" "423" "2010" "2432" ">" "4848" "134" ">4981" ">" "1" "GCF_005048485.1_ASM50484" "GCF_005048485.1" "NZ_SUKW01000049.1" "Staphylococcus_haemolyticus" 4981 "plus" 423 423 235 235 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"43" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "64" "92" "155" "<" "252" "2010" "2261" ">" "-" "-" "-" "-" "0" "GCF_007666145.1_ASM76661" "GCF_007666145.1" "NZ_VDOP01000055.1" "Staphylococcus_haemolyticus" 4963 "plus" 252 252 64 64 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"44" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "118" "92" "209" "<" "306" "2010" "2315" ">" "-" "-" "-" "-" "1" "GCF_005048355.1_ASM50483" "GCF_005048355.1" "NZ_SUKS01000096.1" "Staphylococcus_haemolyticus" 4991 "plus" 306 306 118 118 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"45" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "4896" "92" "4987" "<" "2790" "2010" "4799" ">" "-" "-" "-" "-" "0" "GCF_007665515.1_ASM76655" "GCF_007665515.1" "NZ_VDNK01000050.1" "Staphylococcus_haemolyticus" 5050 "minus" 251 251 63 63 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"46" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "64" "92" "155" "<" "252" "2010" "2261" ">" "-" "-" "-" "-" "0" "GCF_007677135.1_ASM76771" "GCF_007677135.1" "NZ_VECB01000051.1" "Staphylococcus_haemolyticus" 5050 "plus" 252 252 64 64 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"47" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "64" "92" "155" "<" "252" "2010" "2261" ">" "-" "-" "-" "-" "0" "GCF_007676945.1_ASM76769" "GCF_007676945.1" "NZ_VEBT01000051.1" "Staphylococcus_haemolyticus" 5023 "plus" 252 252 64 64 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"48" "5195" "285" ">5479" "<" "-" "-" "-" "-" "-" "-" "-" "-" "5047" "92" "5138" "<" "2941" "2010" "4950" ">" "<1" "285" "285" ">" "1" "GCF_005047465.1_ASM50474" "GCF_005047465.1" "NZ_SUKV01000066.1" "Staphylococcus_haemolyticus" 5479 "minus" 529 529 341 341 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"49" "5016" "675" "5690" "<" "-" "-" "-" "-" "-" "-" "-" "-" "4868" "92" "4959" "<" "2762" "2010" "4771" ">" "-" "-" "-" "-" "1" "GCF_007673425.1_ASM76734" "GCF_007673425.1" "NZ_VDZP01000048.1" "Staphylococcus_haemolyticus" 12753 "minus" 7982 5000 7794 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"50" "4891" "69" ">4959" ">" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "2709" "2010" "4718" ">" "-" "-" "-" "-" "1" "GCF_003428475.1_ASM34284" "GCF_003428475.1" "NZ_QVPW01000065.1" "Staphylococcus_haemolyticus" 4959 "minus" 241 241 NA NA "-" 0 0 1 "-" "Present" "mecA_only" "NT"
"51" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "224" "2010" "2233" ">" "-" "-" "-" "-" "1" "GCF_003428465.1_ASM34284" "GCF_003428465.1" "NZ_QVPX01000064.1" "Staphylococcus_haemolyticus" 4942 "plus" 224 224 NA NA "-" 0 0 1 "-" "Present" "mecA_only" "NT"
"52" "69579" "675" "70253" ">" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "70426" "2010" "72435" ">" "75091" "675" "75765" ">" "1" "GCF_002906595.1_ASM29065" "GCF_002906595.1" "NZ_CP024809.1" "Staphylococcus_haemolyticus" 2593983 "plus" 70426 5000 NA NA "-" 0 0 1 "-" "Present" "mecA_only" "NT"
"53" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "114" "2010" "2123" ">" "-" "-" "-" "-" "0" "GCF_001705085.1_ASM17050" "GCF_001705085.1" "NZ_JRAX01000092.1" "Staphylococcus_haemolyticus" 4722 "plus" 114 114 NA NA "-" 0 0 0 "-" "Absent" "NT" "NT"
"54" "<1" "92" "92" "<" "-" "-" "-" "-" "-" "-" "-" "-" "149" "92" "240" "<" "337" "2010" "2346" ">" "5002" "133" ">5134" ">" "1" "GCF_001239605.1_7067_4" "GCF_001239605.1" "NZ_CUDY01000055.1" "Staphylococcus_haemolyticus" 5134 "plus" 337 337 149 149 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"55" "4741" "675" "5415" "<" "-" "-" "-" "-" "-" "-" "-" "-" "4593" "92" "4684" "<" "2487" "2010" "4496" ">" "-" "-" "-" "-" "1" "GCF_001529465.1_ASM15294" "GCF_001529465.1" "NZ_LRHM01000054.1" "Staphylococcus_haemolyticus" 15501 "minus" 11005 5000 10817 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"56" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "244" "2010" "2253" ">" "-" "-" "-" "-" "0" "GCF_002276975.1_ASM22769" "GCF_002276975.1" "NZ_NCXH01000058.1" "Staphylococcus_haemolyticus" NA "plus" 244 244 NA NA "-" 0 0 0 "-" "Absent" "NT" "NT"
"57" "217046" "675" "217720" "<" "-" "-" "-" "-" "-" "-" "-" "-" "217777" "92" "217868" "<" "217965" "2010" "219974" ">" "222430" "675" "223104" ">" "1" "GCF_002165435.1_ASM21654" "GCF_002165435.1" "NZ_NFUG01000002.1" "Staphylococcus_haemolyticus" 1555818 "plus" 217965 5000 217777 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"58" "75387" "675" "76061" "<" "-" "-" "-" "-" "-" "-" "-" "-" "75239" "92" "75330" "<" "73133" "2010" "75142" ">" "69803" "675" "70477" ">" "1" "GCF_001975855.1_ASM19758" "GCF_001975855.1" "NZ_MTIZ01000001.1" "Staphylococcus_haemolyticus" 439342 "minus" 364200 5000 364012 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"59" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "5841" "92" "5932" "<" "3735" "2010" "5744" ">" "-" "-" "-" "-" "0" "GCF_001969875.1_ASM19698" "GCF_001969875.1" "NZ_MRUY01000053.1" "Staphylococcus_haemolyticus" 6821 "minus" 1077 1077 889 889 "NT_0-99" 0 0 0 "NT_0-99" "Absent" "NT" "NT"
"60" "1780965" "675" "1781639" "<" "-" "-" "-" "-" "-" "-" "-" "-" "1780817" "92" "1780908" "<" "1778711" "2010" "1780720" ">" "1775381" "675" "1776055" ">" "1" "GCF_001471515.2_ASM14715" "GCF_001471515.2" "NZ_LOSE02000001.1" "Staphylococcus_haemolyticus" 2657633 "minus" 876913 5000 876725 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"61" "878493" "675" "879167" "<" "-" "-" "-" "-" "-" "-" "-" "-" "879224" "92" "879315" "<" "879412" "2010" "881421" ">" "884077" "675" "884751" ">" "1" "GCF_002952715.2_ASM29527" "GCF_002952715.2" "NZ_CP025031.1" "Staphylococcus_haemolyticus" 2632932 "plus" 879412 5000 879224 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"62" "10364" "675" "11038" "<" "-" "-" "-" "-" "-" "-" "-" "-" "11095" "92" "11186" "<" "11283" "2010" "13292" ">" "15948" "306" ">16253" ">" "1" "GCF_001969865.1_ASM19698" "GCF_001969865.1" "NZ_MRUZ01000038.1" "Staphylococcus_haemolyticus" 16253 "plus" 11283 5000 11095 5000 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"63" "4725" "675" "5399" "<" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "5644" "2010" "7653" ">" "10309" "675" "10983" ">" "0" "GCF_001471285.1_ASM14712" "GCF_001471285.1" "NZ_LORN02000008.1" "Staphylococcus_haemolyticus" NA "plus" 5644 5000 NA NA "-" 0 0 1 "-" "Present" "NT" "NT"
"64" "4949" "96" ">5046" ">" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "2767" "2010" "4776" ">" "<1" "111" "111" ">" "0" "GCF_002934085.1_ASM29340" "GCF_002934085.1" "NZ_PGWY01000688.1" "Staphylococcus_haemolyticus" NA "minus" NA NA NA NA "-" 0 0 1 "-" "Present" "NT" "NT"
"65" "<1" "259" "259" "<" "-" "-" "-" "-" "-" "-" "-" "-" "316" "92" "407" "<" "504" "2010" "2513" ">" "-" "-" "-" "-" "1" "GCF_001239725.1_7068" "GCF_001239725.1" "NZ_CUFV01000055.1" "Staphylococcus_haemolyticus" 4934 "plus" 504 504 316 316 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
"66" "69579" "675" "70253" ">" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "70426" "2010" "72435" ">" "75091" "675" "75765" ">" "1" "GCF_002906615.1_ASM29066" "GCF_002906615.1" "NZ_CP025396.1" "Staphylococcus_haemolyticus" 2593418 "plus" 70426 5000 NA NA "-" 0 0 1 "-" "Present" "mecA_only" "NT"
"67" "3001" "675" "3675" "<" "-" "-" "-" "-" "-" "-" "-" "-" "3732" "92" "3823" "<" "3920" "2010" "5929" ">" "8585" "232" ">8816" ">" "1" "GCF_001232285.1_7067_4" "GCF_001232285.1" "NZ_CUEX01000048.1" "Staphylococcus_haemolyticus" 8816 "plus" 3920 3920 3732 3732 "NT_0-99" 0 0 1 "NT_0-99" "Present" "NT" "NT"
